Name,Birth/death dates,File name,century
Erasmus Darwin,1731–1802,Erasmus_Darwin.txt,18
Eric Voegelin,1901–1985,Eric_Voegelin.txt,20
Erich Fromm,1900–1980,Erich_Fromm.txt,20
Ernest Nagel,1901–1985,Ernest_Nagel.txt,20
Ernest Sosa,born 1940,Ernest_Sosa.txt,20
Ernest Wamba dia Wamba,1942–2020,Ernest_Wamba_dia_Wamba.txt,20
Ernesto Che Guevara,1928–1967,Ernesto_Che_Guevara.txt,20
Ernesto Laclau,1935–2014,Ernesto_Laclau.txt,20
Ernst Bloch (philosopher),1885–1977,Ernst_Bloch_(philosopher).txt,20
Ernst Cassirer,1874–1945,Ernst_Cassirer.txt,20
Ernst Haeckel,1834–1919,Ernst_Haeckel.txt,19
Ernst Jünger,1895–1998,Ernst_Jünger.txt,20
Ernst Laas,1837–1885,Ernst_Laas.txt,19
Ernst Mach,1838–1916,Ernst_Mach.txt,19
Ernst Mally,1879–1944,Ernst_Mally.txt,20
Ernst Mayr,1904–2005,Ernst_Mayr.txt,20
Ernst Troeltsch,1865–1923,Ernst_Troeltsch.txt,19
Ernst Tugendhat,born 1930,Ernst_Tugendhat.txt,20
Ernst Zermelo,1871–1953,Ernst_Zermelo.txt,20
Errico Malatesta,1853–1932,Errico_Malatesta.txt,19
Erwin Rohde,1845–1898,Erwin_Rohde.txt,19
Erwin Schrödinger,1887–1961,Erwin_Schrödinger.txt,20
Eudoxus of Cnidus,410/408 BC–355 or 347 BC,Eudoxus_of_Cnidus.txt,-4
Eugen Dühring,1833–1921,Eugen_Dühring.txt,19
Eugen Fink,1905–1975,Eugen_Fink.txt,20
Eugen Rosenstock-Huessy,1888–1973,Eugen_Rosenstock-Huessy.txt,20
Eusebius of Caesarea,264–339,Eusebius_of_Caesarea.txt,4
Evald Vassilievich Ilyenkov,1924–1979,Evald_Vassilievich_Ilyenkov.txt,20
Evander Bradley McGilvary,1864–1953,Evander_Bradley_McGilvary.txt,20
F. C. S. Schiller,1864–1937,F._C._S._Schiller.txt,20
F. H. Bradley,1846–1924,F._H._Bradley.txt,19
Fakhr al-Din al-Razi,1149–1209,Fakhr_al-Din_al-Razi.txt,12
Fazang,643–712,Fazang.txt,7
Felix Krueger,1874–1948,Felix_Krueger.txt,20
Felix Ravaisson-Mollien,1813–1900,Felix_Ravaisson-Mollien.txt,19
Felix Weltsch,1884–1964,Felix_Weltsch.txt,20
Feng Youlan,1895–1990,Feng_Youlan.txt,20
Ferdinand Lassalle,1825–1864,Ferdinand_Lassalle.txt,19
Ferdinand de Saussure,1857–1913,Ferdinand_de_Saussure.txt,19
Fernando Savater,born 1947,Fernando_Savater.txt,20
Florian Znaniecki,1882–1958,Florian_Znaniecki.txt,20
Francesco Bonatelli,1830–1911,Francesco_Bonatelli.txt,19
Francesco Patrizi da Cherso,1529–1597,Francesco_Patrizi_da_Cherso.txt,16
Francesco Silvestri,1474–1528,Francesco_Silvestri.txt,16
Francesco de Sanctis (critic),1817–1883,Francesco_de_Sanctis_(critic).txt,19
Francis Bacon,1561–1626,Francis_Bacon.txt,16
Francis Hutcheson (philosopher),1694–1746,Francis_Hutcheson_(philosopher).txt,18
Francis Parker Yockey,1917–1960,Francis_Parker_Yockey.txt,20
Francis of Marchia,ca. 1290–ca. 1344,Francis_of_Marchia.txt,14
Francis of Meyronnes,1285–1328,Francis_of_Meyronnes.txt,14
Francisco Romero (philosopher),1891–1962,Francisco_Romero_(philosopher).txt,20
Francisco Sanches,1551–1623,Francisco_Sanches.txt,16
Francisco Suárez,1548–1617,Francisco_Suárez.txt,16
Francisco Varela,1946–2001,Francisco_Varela.txt,20
Francisco de Vitoria,1492–1546,Francisco_de_Vitoria.txt,16
Franciscus Mercurius van Helmont,1614–1698,Franciscus_Mercurius_van_Helmont.txt,17
Franciscus Toletus,1515–1584,Franciscus_Toletus.txt,16
Frank Cameron Jackson,born 1943,Frank_Cameron_Jackson.txt,20
Frank P. Ramsey,1903–1930,Frank_P._Ramsey.txt,20
Frans Hemsterhuis,1721–1790,Frans_Hemsterhuis.txt,18
Frantz Fanon,1925–1961,Frantz_Fanon.txt,20
Franz Brentano,1838–1917,Franz_Brentano.txt,19
Franz Jakubowski,1912–1970,Franz_Jakubowski.txt,20
Franz Kafka,1883–1924,Franz_Kafka.txt,20
Franz Rosenzweig,1886–1929,Franz_Rosenzweig.txt,20
Franz Xaver von Baader,1765–1841,Franz_Xaver_von_Baader.txt,19
François Bernier,1620–1688,François_Bernier.txt,17
François Poullain de la Barre,1647–1723,François_Poullain_de_la_Barre.txt,17
François Rabelais,1493–1553,François_Rabelais.txt,16
François de La Mothe Le Vayer,1588–1672,François_de_La_Mothe_Le_Vayer.txt,17
François de La Rochefoucauld (writer),1613–1680,François_de_La_Rochefoucauld_(writer).txt,17
François de Salignac de la Mothe-Fénelon,1651–1715,François_de_Salignac_de_la_Mothe-Fénelon.txt,17
François-René de Chateaubriand,1768–1848,François-René_de_Chateaubriand.txt,19
Fred Dretske,1932–2013,Fred_Dretske.txt,20
Frederick Douglass,1818–1895,Frederick_Douglass.txt,19
Frederick Robert Tennant,1866–1957,Frederick_Robert_Tennant.txt,20
Fredric Jameson,born 1934,Fredric_Jameson.txt,20
Friedrich Adolf Trendelenburg,1802–1872,Friedrich_Adolf_Trendelenburg.txt,19
Friedrich Albert Lange,1828–1875,Friedrich_Albert_Lange.txt,19
Friedrich Eduard Beneke,1798–1854,Friedrich_Eduard_Beneke.txt,19
Friedrich Engels,1820–1895,Friedrich_Engels.txt,19
Friedrich Fröbel,1782–1852,Friedrich_Fröbel.txt,19
Friedrich Gogarten,1887–1968,Friedrich_Gogarten.txt,20
Friedrich Hayek,1899–1992,Friedrich_Hayek.txt,20
Friedrich Heinrich Jacobi,1743–1819,Friedrich_Heinrich_Jacobi.txt,18
Friedrich Hölderlin,1770–1843,Friedrich_Hölderlin.txt,19
Friedrich Karl von Savigny,1779–1861,Friedrich_Karl_von_Savigny.txt,19
Friedrich Meinecke,1862–1954,Friedrich_Meinecke.txt,20
Friedrich Nietzsche,1844–1900,Friedrich_Nietzsche.txt,19
Friedrich Paulsen,1846–1908,Friedrich_Paulsen.txt,19
Friedrich Schelling,1775–1852,Friedrich_Schelling.txt,19
Friedrich Schiller,1759–1805,Friedrich_Schiller.txt,18
Friedrich Schleiermacher,1768–1834,Friedrich_Schleiermacher.txt,19
Friedrich Waismann,1896–1959,Friedrich_Waismann.txt,20
Friedrich von Hügel,1852–1925,Friedrich_von_Hügel.txt,19
Fritz Mauthner,1849–1923,Fritz_Mauthner.txt,19
Fujiwara Seika,1561–1619,Fujiwara_Seika.txt,16
Fyodor Dostoyevsky,1821–1881,Fyodor_Dostoyevsky.txt,19
Félix Guattari,1930–1992,Félix_Guattari.txt,20
G. E. M. Anscombe,1918–2001,G._E._M._Anscombe.txt,20
G. E. Moore,1873–1958,G._E._Moore.txt,20
Gabriel Biel,1425–1495,Gabriel_Biel.txt,15
Gabriel Marcel,1887–1973,Gabriel_Marcel.txt,20
Gabrielle Suchon,1631–1703,Gabrielle_Suchon.txt,17
Gaetano Mosca,1858–1941,Gaetano_Mosca.txt,19
Gaius (jurist),110–180,Gaius_(jurist).txt,2
Gaius Marius Victorinus,4th century,Gaius_Marius_Victorinus.txt,4
Galen,131–201,Galen.txt,2
Galen Strawson,born 1952,Galen_Strawson.txt,20
Galileo Galilei,1564–1642,Galileo_Galilei.txt,17
Gangeśa,fl. c. 1325,Gangeśa.txt,14
Gareth Evans (philosopher),1946–1980,Gareth_Evans_(philosopher).txt,20
Gaston Bachelard,1884–1962,Gaston_Bachelard.txt,20
Gaston Milhaud,1858–1918,Gaston_Milhaud.txt,19
Gaunilo of Marmoutiers,11th century,Gaunilo_of_Marmoutiers.txt,11
Gautama Buddha,ca. 563–483 BC,Gautama_Buddha.txt,-6
Gayatri Chakravorty Spivak,born 1942,Gayatri_Chakravorty_Spivak.txt,20
Ge Hong,4th century,Ge_Hong.txt,4
Gemistus Pletho,c. 1355 – c. 1452,Gemistus_Pletho.txt,15
Genevieve Lloyd,born 1941,Genevieve_Lloyd.txt,20
Geoffrey J. Warnock,1923–1996,Geoffrey_J._Warnock.txt,20
Georg Bernhard Bilfinger,1693–1750,Georg_Bernhard_Bilfinger.txt,18
Georg Cantor,1845–1918,Georg_Cantor.txt,19
Georg Christoph Lichtenberg,1742–1799,Georg_Christoph_Lichtenberg.txt,18
Georg Friedrich Meier,1718–1777,Georg_Friedrich_Meier.txt,18
Georg Henrik von Wright,1916–2003,Georg_Henrik_von_Wright.txt,20
Georg Kreisel,1923–2015,Georg_Kreisel.txt,20
Georg Lukács,1885–1971,Georg_Lukács.txt,20
Georg Simmel,1858–1918,Georg_Simmel.txt,19
Georg Wilhelm Friedrich Hegel,1770–1831,Georg_Wilhelm_Friedrich_Hegel.txt,19
George Berkeley,1685–1753,George_Berkeley.txt,18
George Boole,1815–1864,George_Boole.txt,19
George Eliot,1819–1880,George_Eliot.txt,19
George Frederick Stout,1860–1944,George_Frederick_Stout.txt,20
George Herbert Mead,1863–1931,George_Herbert_Mead.txt,19
George Howison,1834–1916,George_Howison.txt,19
George Santayana,1863–1952,George_Santayana.txt,20
George Steiner,1929–2020,George_Steiner.txt,20
George of Trebizond,1395–1484,George_of_Trebizond.txt,15
Georges Bataille,1897–1962,Georges_Bataille.txt,20
Georges Canguilhem,1904–1995,Georges_Canguilhem.txt,20
Georges Florovsky,1893–1979,Georges_Florovsky.txt,20
Georges Sorel,1847–1922,Georges_Sorel.txt,19
"Georges-Louis Leclerc, Comte de Buffon",1707–1788,"Georges-Louis_Leclerc,_Comte_de_Buffon.txt",18
Georgi Plekhanov,1856–1918,Georgi_Plekhanov.txt,19
Gerald Cohen,1941–2009,Gerald_Cohen.txt,20
Gerard of Cremona,1114–1187,Gerard_of_Cremona.txt,12
Gerard of Odo,1290–1349,Gerard_of_Odo.txt,14
Geraud de Cordemoy,1626–1684,Geraud_de_Cordemoy.txt,17
Gerhard Gentzen,1909–1945,Gerhard_Gentzen.txt,20
Germain Grisez,1929–2018,Germain_Grisez.txt,20
Gerolamo Cardano,1501–1576,Gerolamo_Cardano.txt,16
Gershom Carmichael,c. 1672–1729,Gershom_Carmichael.txt,18
Gershom Scholem,1897–1982,Gershom_Scholem.txt,20
Gersonides,1288–1344,Gersonides.txt,14
Giacinto Sigismondo Gerdil,1718–1802,Giacinto_Sigismondo_Gerdil.txt,18
Giacomo Leopardi,1798–1837,Giacomo_Leopardi.txt,19
Giambattista Vico,1668–1744,Giambattista_Vico.txt,18
Giambattista della Porta,c. 1535–1615,Giambattista_della_Porta.txt,16
Gian-Carlo Rota,1932–1999,Gian-Carlo_Rota.txt,20
Gianni Vattimo,born 1936,Gianni_Vattimo.txt,20
Gilbert Harman,born 1938,Gilbert_Harman.txt,20
Gilbert Ryle,1900–1976,Gilbert_Ryle.txt,20
Gilbert de la Porrée,1070–1154,Gilbert_de_la_Porrée.txt,12
Giles of Rome,c. 1243–1316,Giles_of_Rome.txt,13
Gilles Deleuze,1925–1995,Gilles_Deleuze.txt,20
Giordano Bruno,1548–1600,Giordano_Bruno.txt,16
Giorgio Del Vecchio,1878–1970,Giorgio_Del_Vecchio.txt,20
Giovanni Gentile,1875–1944,Giovanni_Gentile.txt,20
Giovanni Papini,1881–1956,Giovanni_Papini.txt,20
Giovanni Pico della Mirandola,1463–1494,Giovanni_Pico_della_Mirandola.txt,15
Giuseppe Peano,1858–1932,Giuseppe_Peano.txt,19
Godfrey of Fontaines,c. 1250–1309,Godfrey_of_Fontaines.txt,13
Gongsun Longzi,c. 300 BC,Gongsun_Longzi.txt,-4
Gorampa,1429–1489,Gorampa.txt,15
Gorgias,c. 483–375 BC,Gorgias.txt,-5
Gottfried Benn,1886–1956,Gottfried_Benn.txt,20
Gottfried Leibniz,1646–1716,Gottfried_Leibniz.txt,17
Gotthold Ephraim Lessing,1729–1781,Gotthold_Ephraim_Lessing.txt,18
Gottlieb Fichte,1762–1814,Gottlieb_Fichte.txt,18
Gottlob Ernst Schulze,1761–1833,Gottlob_Ernst_Schulze.txt,18
Gottlob Frege,1848–1925,Gottlob_Frege.txt,19
Gregor Mendel,1822–1884,Gregor_Mendel.txt,19
Gregory Vlastos,1907–1991,Gregory_Vlastos.txt,20
Gregory of Nazianzus,329–389,Gregory_of_Nazianzus.txt,4
Gregory of Nyssa,c. 335–398,Gregory_of_Nyssa.txt,4
Gregory of Rimini,d. 1358,Gregory_of_Rimini.txt,14
Guan Zhong,740–645 BC,Guan_Zhong.txt,-7
Guillaume du Vair,1556–1621,Guillaume_du_Vair.txt,16
Guo Xiang,c. 252–312,Guo_Xiang.txt,3
Gustav Bergmann,1906–1987,Gustav_Bergmann.txt,20
Gustav Fechner,1801–1887,Gustav_Fechner.txt,19
Gustav Gustavovich Shpet,1879–1937,Gustav_Gustavovich_Shpet.txt,20
Gustav Radbruch,1878–1949,Gustav_Radbruch.txt,20
Gustav Teichmuller,1837–1888,Gustav_Teichmuller.txt,19
Gustave Belot,1859–1929,Gustave_Belot.txt,19
Guy Debord,1931–1994,Guy_Debord.txt,20
Gwenaëlle Aubry,born 1971,Gwenaëlle_Aubry.txt,20
Gwilyn Ellis Lane Owen,1922–1982,Gwilyn_Ellis_Lane_Owen.txt,20
Gyaltsab Je,1364–1432,Gyaltsab_Je.txt,14
György Mihály Vajda,born 1935,György_Mihály_Vajda.txt,20
Gáspár Miklós Tamás,born 1948,Gáspár_Miklós_Tamás.txt,20
H. L. A. Hart,1907–1992,H._L._A._Hart.txt,20
H. Richard Niebuhr,1894–1962,H._Richard_Niebuhr.txt,20
Han Feizi,died 233 BC,Han_Feizi.txt,-3
Han Yu,768–824,Han_Yu.txt,8
Hannah Arendt,1906–1975,Hannah_Arendt.txt,20
Hans Adolf Eduard Driesch,1867–1941,Hans_Adolf_Eduard_Driesch.txt,20
Hans Albert,born 1921,Hans_Albert.txt,20
Hans Christian Ørsted,1777–1851,Hans_Christian_Ørsted.txt,19
Hans Kelsen,1881–1973,Hans_Kelsen.txt,20
Hans Reichenbach,1891–1953,Hans_Reichenbach.txt,20
Hans Vaihinger,1852–1933,Hans_Vaihinger.txt,19
Hans Wilhelm Frei,1922–1988,Hans_Wilhelm_Frei.txt,20
Hans-Georg Gadamer,1900–2002,Hans-Georg_Gadamer.txt,20
Hao Wang (academic),1921–1995,Hao_Wang_(academic).txt,20
Harald Høffding,1843–1931,Harald_Høffding.txt,19
Harold Arthur Prichard,1871–1947,Harold_Arthur_Prichard.txt,20
Harriet Martineau,1802–1876,Harriet_Martineau.txt,19
Harriet Taylor Mill,1807–1858,Harriet_Taylor_Mill.txt,19
Harry Frankfurt,born 1929,Harry_Frankfurt.txt,20
Hartry Field,born 1946,Hartry_Field.txt,20
Hasdai Crescas,c. 1340–1410,Hasdai_Crescas.txt,14
Hassan Hanafi,born 1935,Hassan_Hanafi.txt,20
Hastings Rashdall,1858–1924,Hastings_Rashdall.txt,19
Hayashi Razan,1583–1657,Hayashi_Razan.txt,17
Hector-Neri Castañeda,1924–1991,Hector-Neri_Castañeda.txt,20
Heinrich Christoph Wilhelm Sigwart,1789–1844,Heinrich_Christoph_Wilhelm_Sigwart.txt,19
Heinrich Cornelius Agrippa,1436–1535,Heinrich_Cornelius_Agrippa.txt,15
Heinrich Czolbe,1819–1873,Heinrich_Czolbe.txt,19
Heinrich Rickert,1863–1936,Heinrich_Rickert.txt,19
Heinrich Rudolf Hertz,1857–1894,Heinrich_Rudolf_Hertz.txt,19
Heinrich Scholz,1884–1956,Heinrich_Scholz.txt,20
Heinrich von Kleist,1777–1811,Heinrich_von_Kleist.txt,18
Helmut Reichelt,born 1939,Helmut_Reichelt.txt,20
Helmut Thielicke,1908–1986,Helmut_Thielicke.txt,20
Helmuth Plessner,1892–1985,Helmuth_Plessner.txt,20
Henri Bergson,1859–1941,Henri_Bergson.txt,20
Henri Lefebvre,1901–1991,Henri_Lefebvre.txt,20
Henri Poincaré,1854–1912,Henri_Poincaré.txt,19
Henri de Boulainvilliers,1658–1722,Henri_de_Boulainvilliers.txt,17
Henricus Regius,1598–1679,Henricus_Regius.txt,17
Henry Babcock Veatch,1911–1997,Henry_Babcock_Veatch.txt,20
Henry Corbin,1903–1978,Henry_Corbin.txt,20
Henry David Thoreau,1817–1862,Henry_David_Thoreau.txt,19
Henry Habberley Price,1899–1984,Henry_Habberley_Price.txt,20
"Henry Home, Lord Kames",1696–1782,"Henry_Home,_Lord_Kames.txt",18
Henry James Sr.,1811–1882,Henry_James_Sr..txt,19
Henry Longueville Mansel,1820–1871,Henry_Longueville_Mansel.txt,19
Henry More,1614–1687,Henry_More.txt,17
Henry Sidgwick,1838–1900,Henry_Sidgwick.txt,19
"Henry St John, 1st Viscount Bolingbroke",1678–1751,"Henry_St_John,_1st_Viscount_Bolingbroke.txt",18
Henry Stanton,1805–1887,Henry_Stanton.txt,19
Henry Suso,1300–1366,Henry_Suso.txt,14
Henry Thomas Buckle,1821–1862,Henry_Thomas_Buckle.txt,19
Henry of Ghent,c. 1217–1293,Henry_of_Ghent.txt,13
Henry of Harclay,1270–1317,Henry_of_Harclay.txt,13
Heraclides Ponticus,387–312 BC,Heraclides_Ponticus.txt,-4
Heraclitus,ca. 535–475 BC,Heraclitus.txt,-6
Herbert Feigl,1902–1988,Herbert_Feigl.txt,20
Herbert Marcuse,1898–1979,Herbert_Marcuse.txt,20
Herbert Spencer,1820–1903,Herbert_Spencer.txt,19
Herbert Spiegelberg,1904–1990,Herbert_Spiegelberg.txt,20
Herman Dooyeweerd,1894–1977,Herman_Dooyeweerd.txt,20
Hermann Cohen,1842–1918,Hermann_Cohen.txt,19
Hermann Friedrich Wilhelm Hinrichs,1794–1861,Hermann_Friedrich_Wilhelm_Hinrichs.txt,19
Hermann Graf Keyserling,1880–1946,Hermann_Graf_Keyserling.txt,20
Hermann Lotze,1817–1881,Hermann_Lotze.txt,19
Hermann Samuel Reimarus,1694–1768,Hermann_Samuel_Reimarus.txt,18
Hermann Ulrici,1806–1884,Hermann_Ulrici.txt,19
Hermann Weyl,1885–1955,Hermann_Weyl.txt,20
Hermann von Helmholtz,1821–1894,Hermann_von_Helmholtz.txt,19
Hervaeus Natalis,1250–1323,Hervaeus_Natalis.txt,13
Hesiod,c. 700 BC,Hesiod.txt,-8
Hibat Allah Abu'l-Barakat al-Baghdaadi,1080–1165,Hibat_Allah_Abu'l-Barakat_al-Baghdaadi.txt,12
Hierocles (Stoic),2nd century,Hierocles_(Stoic).txt,2
Hilary Greaves,born 1978,Hilary_Greaves.txt,20
Hilary Putnam,1926–2016,Hilary_Putnam.txt,20
Hildegard of Bingen,1098–1179,Hildegard_of_Bingen.txt,12
Hillel ben Samuel of Verona,1220–1295,Hillel_ben_Samuel_of_Verona.txt,13
Hippias,5th century BC,Hippias.txt,-5
Hippocrates,460–380 BC,Hippocrates.txt,-5
Hippolyte Taine,1828–1893,Hippolyte_Taine.txt,19
Ho Yen,190–249,Ho_Yen.txt,3
Homer,c. 700 BC,Homer.txt,-8
Hossein Nasr,born 1933,Hossein_Nasr.txt,20
Houston Stewart Chamberlain,1855–1927,Houston_Stewart_Chamberlain.txt,19
Hryhori Skovoroda,1722–1794,Hryhori_Skovoroda.txt,18
Hsi K'ang,223–262,Hsi_K'ang.txt,3
Hsiung Shih-li,1885–1968,Hsiung_Shih-li.txt,20
Hsu Fu-kuan,1903–1982,Hsu_Fu-kuan.txt,20
Hu Shih,1891–1962,Hu_Shih.txt,20
Huang Zongxi,1610–1695,Huang_Zongxi.txt,17
Hubert Damisch,1928–2017,Hubert_Damisch.txt,20
Hubert Schleichert,born 1935,Hubert_Schleichert.txt,20
Hugh Blair,1718–1800,Hugh_Blair.txt,18
Hugh of St Victor,c. 1078–1141,Hugh_of_St_Victor.txt,12
Hughes Felicité Robert de Lamennais,1752–1854,Hughes_Felicité_Robert_de_Lamennais.txt,19
Hugo Dingler,1881–1954,Hugo_Dingler.txt,20
Hugo Grotius,1583–1645,Hugo_Grotius.txt,17
Hui Shi,4th century BC,Hui_Shi.txt,-4
Huston Smith,1919–2016,Huston_Smith.txt,20
Hypatia of Alexandria,370–415,Hypatia_of_Alexandria.txt,4
Hélène Cixous,born 1937,Hélène_Cixous.txt,20
I. A. Richards,1893–1979,I._A._Richards.txt,20
Iamblichus (philosopher),ca. 245&nbsp;AD-ca. 325,Iamblichus_(philosopher).txt,3
Ian Hacking,born 1936,Ian_Hacking.txt,20
Ian Thomas Ramsey,1915–1972,Ian_Thomas_Ramsey.txt,20
Ibn Arabi,1164–1240,Ibn_Arabi.txt,13
Ibn Bajjah,died 1138,Ibn_Bajjah.txt,12
Ibn Daud,1110–1180,Ibn_Daud.txt,12
Ibn Falaquera,1223–1290,Ibn_Falaquera.txt,13
Ibn Hazm,994–1069,Ibn_Hazm.txt,11
Ibn Kammuna,1215–1284,Ibn_Kammuna.txt,13
Ibn Khaldun,1332–1406,Ibn_Khaldun.txt,14
Ibn Masarra,883–931,Ibn_Masarra.txt,10
Ibn Miskawayh,940–1030,Ibn_Miskawayh.txt,10
Ibn Sabin,1217–1268,Ibn_Sabin.txt,13
Ibn Taymiya,1263–1328,Ibn_Taymiya.txt,13
Ibn Tufail,1110–1185,Ibn_Tufail.txt,12
Ibn ar-Rawandi,827–911,Ibn_ar-Rawandi.txt,9
Immanuel Kant,1724–1804,Immanuel_Kant.txt,18
Immanuel the Roman,c. 1270 – c. 1330,Immanuel_the_Roman.txt,14
Imre Lakatos,1922–1974,Imre_Lakatos.txt,20
Iris Marion Young,1949–2006,Iris_Marion_Young.txt,20
Iris Murdoch,1919–1999,Iris_Murdoch.txt,20
Isaac Abrabanel,1437–1508,Isaac_Abrabanel.txt,15
Isaac Albalag,13th century,Isaac_Albalag.txt,13
Isaac Israeli ben Solomon,c. 850–950,Isaac_Israeli_ben_Solomon.txt,10
Isaac La Peyrère,1596–1676,Isaac_La_Peyrère.txt,17
Isaac Newton,1642–1727,Isaac_Newton.txt,17
Isaac Orobio de Castro,1617–1687,Isaac_Orobio_de_Castro.txt,17
Isaac ben Joseph ibn Pulgar,14th century,Isaac_ben_Joseph_ibn_Pulgar.txt,14
Isaac ben Moses Arama,1420–1494,Isaac_ben_Moses_Arama.txt,15
Isaac of Stella,1105–1177,Isaac_of_Stella.txt,12
Isaiah Berlin,1909–1997,Isaiah_Berlin.txt,20
Isocrates,436–338 BC,Isocrates.txt,-4
István Mészáros (philosopher),1930–2017,István_Mészáros_(philosopher).txt,20
Ito Jinsai,1627–1705,Ito_Jinsai.txt,17
Ivan Aleksandrovich Il'in,1883–1954,Ivan_Aleksandrovich_Il'in.txt,20
Ivan Kireevsky,1806–1856,Ivan_Kireevsky.txt,19
Ivan Pavlov,1849–1936,Ivan_Pavlov.txt,19
Ivan Sviták,1925–1994,Ivan_Sviták.txt,20
J. J. C. Smart,1920–2012,J._J._C._Smart.txt,20
J. J. Valberg,born 1936,J._J._Valberg.txt,20
J. L. Austin,1911–1960,J._L._Austin.txt,20
J. L. Mackie,1917–1981,J._L._Mackie.txt,20
J. N. Findlay,1903–1987,J._N._Findlay.txt,20
J.B. Schneewind,born 1930,J.B._Schneewind.txt,20
Jaakko Hintikka,1929–2015,Jaakko_Hintikka.txt,20
Jacob Burckhardt,1818–1897,Jacob_Burckhardt.txt,19
Jacob Moleschott,1822–1893,Jacob_Moleschott.txt,19
Jacobus Arminius,1560–1609,Jacobus_Arminius.txt,16
Jacopo Zabarella,1533–1589,Jacopo_Zabarella.txt,16
Jacques Derrida,1930–2004,Jacques_Derrida.txt,20
Jacques Lacan,1901–1981,Jacques_Lacan.txt,20
Jacques Lefèvre d'Étaples,c. 1455–c. 1536,Jacques_Lefèvre_d'Étaples.txt,15
Jacques Maritain,1882–1973,Jacques_Maritain.txt,20
Jacques Rancière,born 1940,Jacques_Rancière.txt,20
Jacques Rohault,1617–1672,Jacques_Rohault.txt,17
Jacques-André Naigeon,1738–1810,Jacques-André_Naigeon.txt,18
Jacques-Bénigne Bossuet,1627–1704,Jacques-Bénigne_Bossuet.txt,17
Jaegwon Kim,1934–2019,Jaegwon_Kim.txt,20
Jakob Böhme,1575–1624,Jakob_Böhme.txt,16
Jakob Friedrich Fries,1773–1843,Jakob_Friedrich_Fries.txt,19
Jakob Sigismund Beck,1761–1840,Jakob_Sigismund_Beck.txt,19
Jalal al-Din al-Dawani,1426–1502,Jalal_al-Din_al-Dawani.txt,15
Jamal al-Din al-Afghani,1839–1897,Jamal_al-Din_al-Afghani.txt,19
James Beattie (writer),1735–1803,James_Beattie_(writer).txt,18
"James Bryce, 1st Viscount Bryce",1838–1922,"James_Bryce,_1st_Viscount_Bryce.txt",19
"James Burnett, Lord Monboddo",1714–1799,"James_Burnett,_Lord_Monboddo.txt",18
James Clerk Maxwell,1831–1879,James_Clerk_Maxwell.txt,19
"James Dalrymple, 1st Viscount Stair",1619–1695,"James_Dalrymple,_1st_Viscount_Stair.txt",17
James Dunbar (writer),1742–1798,James_Dunbar_(writer).txt,18
James Edwin Creighton,1861–1924,James_Edwin_Creighton.txt,19
James Frederick Ferrier,1808–1864,James_Frederick_Ferrier.txt,19
James Griffin (philosopher),1933–2019,James_Griffin_(philosopher).txt,20
James Harrington (author),1611–1677,James_Harrington_(author).txt,17
James Hopwood Jeans,1877–1946,James_Hopwood_Jeans.txt,20
James Hutchison Stirling,1820–1909,James_Hutchison_Stirling.txt,19
James Hutton,1726–1797,James_Hutton.txt,18
James Martineau,1805–1900,James_Martineau.txt,19
James McCosh,1811–1894,James_McCosh.txt,19
James Mill,1773–1836,James_Mill.txt,19
James Ward (psychologist),1843–1925,James_Ward_(psychologist).txt,19
James of Viterbo,1255–1308,James_of_Viterbo.txt,13
Jan Hus,1369–1415,Jan_Hus.txt,14
Jan Lukasiewicz,1878–1956,Jan_Lukasiewicz.txt,20
Jan Patočka,1907–1977,Jan_Patočka.txt,20
Jan Sniadecki,1756–1830,Jan_Sniadecki.txt,18
Jane Addams,1860–1935,Jane_Addams.txt,19
Janet Radcliffe Richards,born 1944,Janet_Radcliffe_Richards.txt,20
Javad Tabatabai,born 1945,Javad_Tabatabai.txt,20
Jayarāśi Bhaṭṭa,fl. c. 800,Jayarāśi_Bhaṭṭa.txt,9
Je Tsongkhapa,1357–1419,Je_Tsongkhapa.txt,14
Jean Anthelme Brillat-Savarin,1755–1826,Jean_Anthelme_Brillat-Savarin.txt,18
Jean Baudrillard,1929–2007,Jean_Baudrillard.txt,20
Jean Bodin,1530–1596,Jean_Bodin.txt,16
Jean Buridan,1300–1358,Jean_Buridan.txt,14
Jean Cavaillès,1903–1944,Jean_Cavaillès.txt,20
Jean Gerson,1363–1429,Jean_Gerson.txt,14
Jean Hyppolite,1907–1968,Jean_Hyppolite.txt,20
Jean Jacques Rousseau,1712–1778,Jean_Jacques_Rousseau.txt,18
Jean Leclerc (theologian),1657–1737,Jean_Leclerc_(theologian).txt,17
Jean Meslier,1664–1729,Jean_Meslier.txt,17
Jean Piaget,1896–1980,Jean_Piaget.txt,20
Jean Reynaud,1806–1863,Jean_Reynaud.txt,19
Jean Wahl,1888–1974,Jean_Wahl.txt,20
Jean de La Bruyère,1645–1696,Jean_de_La_Bruyère.txt,17
Jean le Rond d'Alembert,1717–1783,Jean_le_Rond_d'Alembert.txt,18
Jean-Baptiste Dubos,1670–1742,Jean-Baptiste_Dubos.txt,18
Jean-Baptiste Lamarck,1744–1829,Jean-Baptiste_Lamarck.txt,18
Jean-François Lyotard,1924–1998,Jean-François_Lyotard.txt,20
Jean-Luc Nancy,born 1940,Jean-Luc_Nancy.txt,20
Jean-Paul Sartre,1905–1980,Jean-Paul_Sartre.txt,20
