Name,Birth/death dates,File name,century
Ammonius Saccas,3rd century,Ammonius_Saccas.txt,3
Amílcar Cabral,1924–1973,Amílcar_Cabral.txt,20
Anatoliy Lunacharskiy,1875–1933,Anatoliy_Lunacharskiy.txt,20
Anaxagoras,died 462 BC,Anaxagoras.txt,-5
Anaxarchus,[[floruit|fl.]] 340 BC,Anaxarchus.txt,-4
Anaximander,c. 610 BC–c. 546 BC,Anaximander.txt,-6
Anaximenes of Miletus,6th century BC,Anaximenes_of_Miletus.txt,-6
Anders Nygren,1890–1978,Anders_Nygren.txt,20
Ando Shoeki,1703–1762,Ando_Shoeki.txt,18
Andrew Feenberg,born 1943,Andrew_Feenberg.txt,20
Andrew Seth Pringle-Pattison,1856–1931,Andrew_Seth_Pringle-Pattison.txt,19
Andronicus of Rhodes,c. 70 BC,Andronicus_of_Rhodes.txt,-1
André Gorz,1923–2007,André_Gorz.txt,20
André Lalande (philosopher),1867–1964,André_Lalande_(philosopher).txt,20
André Malraux,1901–1976,André_Malraux.txt,20
André-Marie Ampère,1775–1836,André-Marie_Ampère.txt,19
Angela Davis,born 1944,Angela_Davis.txt,20
Anicius Manlius Severinus Boethius,AD 480–524/525,Anicius_Manlius_Severinus_Boethius.txt,6
Ann Ferguson,born 1938,Ann_Ferguson.txt,20
Anna J. Cooper,1858–1964,Anna_J._Cooper.txt,20
Anna Maria van Schurman,1607–1678,Anna_Maria_van_Schurman.txt,17
Anne Louise Germaine de Staël,1766–1817,Anne_Louise_Germaine_de_Staël.txt,18
Annette Baier,1929–2012,Annette_Baier.txt,20
Anniceris,fl. 300 BC,Anniceris.txt,-4
Anselm of Canterbury,1034–1109,Anselm_of_Canterbury.txt,11
Antero de Quental,1842–1891,Antero_de_Quental.txt,19
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",1671–1713,"Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury.txt",17
Anthony Collins,1676–1729,Anthony_Collins.txt,18
Anthony Kenny,born 1931,Anthony_Kenny.txt,20
Anthony Quinton,1925–2010,Anthony_Quinton.txt,20
Antiochus of Ascalon,c. 130–68 BC,Antiochus_of_Ascalon.txt,-1
Antiphon (person),480–403 BC,Antiphon_(person).txt,-5
Antisthenes,c. 444–365,Antisthenes.txt,5
Antoine Arnauld,1612–1694,Antoine_Arnauld.txt,17
Antoine Augustin Cournot,1801–1877,Antoine_Augustin_Cournot.txt,19
Antoine Destutt de Tracy,1754–1836,Antoine_Destutt_de_Tracy.txt,18
Antoine Lavoisier,1743–1794,Antoine_Lavoisier.txt,18
Antoine Le Grand,1629–1699,Antoine_Le_Grand.txt,17
Anton Marty,1847–1914,Anton_Marty.txt,19
Anton Wilhelm Amo,1703–c. 1759,Anton_Wilhelm_Amo.txt,18
Antonie Pannekoek,1873–1960,Antonie_Pannekoek.txt,20
Antonin Scalia,1936–2016,Antonin_Scalia.txt,20
Antonio Aliotta,1881–1964,Antonio_Aliotta.txt,20
Antonio Banfi,1886–1957,Antonio_Banfi.txt,20
Antonio Caso,1883–1946,Antonio_Caso.txt,20
Antonio Genovesi,1712–1769,Antonio_Genovesi.txt,18
Antonio Gramsci,1891–1937,Antonio_Gramsci.txt,20
Antonio Labriola,1843–1904,Antonio_Labriola.txt,19
Antonio Negri,born 1933,Antonio_Negri.txt,20
Antonio Rosmini-Serbati,1797–1855,Antonio_Rosmini-Serbati.txt,19
Apuleius,c. 123–c. 180,Apuleius.txt,2
Arcesilaus,316–241 BC,Arcesilaus.txt,-3
Archibald Alison (Scottish author),1757–1839,Archibald_Alison_(Scottish_author).txt,18
Archytas,428–347 BC,Archytas.txt,-4
Aristippus,c. 435–366 BC,Aristippus.txt,-5
Aristo of Chios,fl. 250 BC,Aristo_of_Chios.txt,-3
Aristotle,384 BC–322 BC,Aristotle.txt,-4
Arius,256–336,Arius.txt,3
Arne Næss,1912–2009,Arne_Næss.txt,20
Arnold Gehlen,1904–1976,Arnold_Gehlen.txt,20
Arnold Geulincx,1624–1669,Arnold_Geulincx.txt,17
Arnold Ruge,1802–1880,Arnold_Ruge.txt,19
Aron Gurwitsch,1901–1973,Aron_Gurwitsch.txt,20
Arthur Balfour,1848–1930,Arthur_Balfour.txt,19
Arthur Collier,1680–1732,Arthur_Collier.txt,18
Arthur Danto,1924–2013,Arthur_Danto.txt,20
Arthur Edward Murphy,1901–1962,Arthur_Edward_Murphy.txt,20
Arthur M. Young,1905–1995,Arthur_M._Young.txt,20
Arthur Oncken Lovejoy,1873–1962,Arthur_Oncken_Lovejoy.txt,20
Arthur Prior,1914–1969,Arthur_Prior.txt,20
Arthur Schopenhauer,1788–1860,Arthur_Schopenhauer.txt,19
Arthur Stanley Eddington,1882–1944,Arthur_Stanley_Eddington.txt,20
Arthur de Gobineau,1816–1882,Arthur_de_Gobineau.txt,19
Asa Gray,1810–1888,Asa_Gray.txt,19
Asher Ginsberg,1856–1927,Asher_Ginsberg.txt,19
Assi Rahbani,1923–1986,Assi_Rahbani.txt,20
Athanasius of Alexandria,298–373,Athanasius_of_Alexandria.txt,4
August Cieszkowski,1814–1894,August_Cieszkowski.txt,19
August Wilhelm Rehberg,1757–1836,August_Wilhelm_Rehberg.txt,18
August Wilhelm Schlegel,1767–1845,August_Wilhelm_Schlegel.txt,19
Auguste Comte,1798–1857,Auguste_Comte.txt,19
Augustine of Hippo,354–430,Augustine_of_Hippo.txt,4
Augustus De Morgan,1806–1871,Augustus_De_Morgan.txt,19
Austin Marsden Farrer,1904–1968,Austin_Marsden_Farrer.txt,20
Averroes,1126–1198,Averroes.txt,12
Avicenna,980–1037,Avicenna.txt,11
Avital Ronell,born 1952,Avital_Ronell.txt,20
Ayn Rand,1905–1982,Ayn_Rand.txt,20
B. F. Skinner,1904–1990,B._F._Skinner.txt,20
B. R. Ambedkar,1891–1956,B._R._Ambedkar.txt,20
Bahya ibn Paquda,1040–1110,Bahya_ibn_Paquda.txt,11
Baltasar Gracián y Morales,1601–1658,Baltasar_Gracián_y_Morales.txt,17
Baron d'Holbach,1723–1789,Baron_d'Holbach.txt,18
Baroness Mary Warnock,1924–2019,Baroness_Mary_Warnock.txt,20
Barry Smith (academic),born 1952,Barry_Smith_(academic).txt,20
Barry Stroud,1935–2019,Barry_Stroud.txt,20
Bartholomew Keckermann,1571–1609,Bartholomew_Keckermann.txt,16
Bartolomé de Medina,1527–1580,Bartolomé_de_Medina.txt,16
Bartolus de Saxoferrato,1313–1357,Bartolus_de_Saxoferrato.txt,14
Baruch Spinoza,1632–1677,Baruch_Spinoza.txt,17
Bas C. van Fraassen,born 1941,Bas_C._van_Fraassen.txt,20
Basilides,c. 117–138,Basilides.txt,2
Benedetto Croce,1866–1952,Benedetto_Croce.txt,20
Benjamin Constant,1767–1830,Benjamin_Constant.txt,18
Benjamin Fondane,1898–1944,Benjamin_Fondane.txt,20
