Name,Birth/death dates,File name,Category,Field
Alexis de Tocqueville,1805–1859,Alexis_de_Tocqueville.txt,Philosophers of culture,Philosophers of culture
Alexius Meinong,1853–1920,Alexius_Meinong.txt,Epistemologists,Philosophers of mind
Alf Niels Christian Ross,1899–1979,Alf_Niels_Christian_Ross.txt,Moral philosophers,Philosophers of law
Alfred Adler,1870–1937,Alfred_Adler.txt,University of Vienna alumni,
Alfred Ayer,1910–1989,Alfred_Ayer.txt,Epistemologists,Philosophers of mind
Alfred Binet,1857–1911,Alfred_Binet.txt,University of Paris alumni,
Alfred Jules Émile Fouillée,1838–1922,Alfred_Jules_Émile_Fouillée.txt,French male non-fiction writers,
Alfred Loisy,1857–1940,Alfred_Loisy.txt,Collège de France faculty,
Alfred North Whitehead,1861–1947,Alfred_North_Whitehead.txt,Epistemologists,Philosophers of mind
Alfred Russel Wallace,1823–1913,Alfred_Russel_Wallace.txt,Fellows of the Royal Society,
Alfred Schütz,1899–1959,Alfred_Schütz.txt,20th-century American philosophers,Philosophers of social science
Alfred Tarski,1901–1983,Alfred_Tarski.txt,Philosophers of science,Philosophers of science
Allama Tabatabai,1903–1981,Allama_Tabatabai.txt,1903 births,
Allan Gibbard,born 1942,Allan_Gibbard.txt,Epistemologists,Philosophers of mind
Alonzo Church,1903–1995,Alonzo_Church.txt,20th-century American philosophers,
Alvin Goldman,born 1938,Alvin_Goldman.txt,Epistemologists,Philosophers of mind
Alvin Plantinga,born 1932,Alvin_Plantinga.txt,Epistemologists,Philosophers of mind
Alyaksandr Tsvikievich,1888–1937,Alyaksandr_Tsvikievich.txt,20th-century historians,
Amartya Sen,born 1933,Amartya_Sen.txt,Fellows of the American Academy of Arts and Sciences,
Ambrose,c. 340–397,Ambrose.txt,Catholic philosophers,
Ammonius Hermiae,5th century,Ammonius_Hermiae.txt,Neoplatonists,
Ammonius Saccas,3rd century,Ammonius_Saccas.txt,Epistemologists,
Amílcar Cabral,1924–1973,Amílcar_Cabral.txt,1924 births,
Anatoliy Lunacharskiy,1875–1933,Anatoliy_Lunacharskiy.txt,Russian revolutionaries,
Anaxagoras,died 462 BC,Anaxagoras.txt,Epistemologists,Philosophers of mind
Anaxarchus,[[floruit|fl.]] 340 BC,Anaxarchus.txt,4th-century BC philosophers,
Anaximander,c. 610 BC–c. 546 BC,Anaximander.txt,Natural philosophers,
Anaximenes of Miletus,6th century BC,Anaximenes_of_Miletus.txt,6th-century BC Greek people,
Anders Nygren,1890–1978,Anders_Nygren.txt,Christian ethicists,
