Name,Birth/death dates,File name,Category,Field
Dariush Shayegan,1935–2018,Dariush_Shayegan.txt,University of Paris alumni,
Daryush Shokof,born 1954,Daryush_Shokof.txt,1954 births,
David Baumgardt,1890–1963,David_Baumgardt.txt,20th-century German philosophers,
David Bohm,1917–1992,David_Bohm.txt,20th-century American philosophers,
David Fordyce,1711–1751,David_Fordyce.txt,Moral philosophers,
David Friedrich Strauss,1808–1874,David_Friedrich_Strauss.txt,German male writers,
David Gauthier,born 1932,David_Gauthier.txt,Moral philosophers,Philosophers of ethics and morality
David H.M. Brooks,1950-1996,David_H.M._Brooks.txt,Philosophers of mind,Philosophers of mind
David Hartley (philosopher),1705–1757,David_Hartley_(philosopher).txt,Philosophers of mind,Philosophers of mind
David Hilbert,1862–1943,David_Hilbert.txt,Recipients of the Pour le Mérite (civil class),
David Hume,1711–1776,David_Hume.txt,Epistemologists,Philosophers of mind
David Ibn Merwan Al-Mukammas,died 937,David_Ibn_Merwan_Al-Mukammas.txt,Philosophers of Judaism,Philosophers of Judaism
David Kaplan (philosopher),born 1933,David_Kaplan_(philosopher).txt,Epistemologists,Philosophers of mind
David Lewis (philosopher),1941–2001,David_Lewis_(philosopher).txt,Epistemologists,Philosophers of mind
David Malet Armstrong,1926–2014,David_Malet_Armstrong.txt,Epistemologists,Philosophers of mind
David Papineau,born 1947,David_Papineau.txt,Philosophers of mind,Philosophers of mind
David Pears,1921–2009,David_Pears.txt,"Alumni of Balliol College, Oxford",
David Ricardo,1772–1823,David_Ricardo.txt,Utilitarians,
David Stove,1927–1994,David_Stove.txt,Philosophers of science,Philosophers of science
David Sztybel,born 1967,David_Sztybel.txt,Animal rights scholars,
David Wiggins,born 1933,David_Wiggins.txt,Epistemologists,Philosophers of mind
David of Dinant,12th century,David_of_Dinant.txt,Natural philosophers,
David the Invincible,late 6th century,David_the_Invincible.txt,Commentators on Aristotle,
Debendranath Tagore,1817–1905,Debendranath_Tagore.txt,1817 births,
Democritus,460–370 BC,Democritus.txt,Founders of philosophical traditions,
Denis Diderot,1713–1784,Denis_Diderot.txt,Epistemologists,Philosophers of science
Denys the Carthusian,1402–1471,Denys_the_Carthusian.txt,Roman Catholic mystics,
Derek Parfit,1942–2017,Derek_Parfit.txt,Analytic philosophers,Philosophers of identity
Desiderius Erasmus,1466–1536,Desiderius_Erasmus.txt,Social critics,
Dewi Zephaniah Phillips,1934–2006,Dewi_Zephaniah_Phillips.txt,Analytic philosophers,
Dharmakirti,c. 7th century,Dharmakirti.txt,Atheist philosophers,
Dietrich Bonhoeffer,1906–1945,Dietrich_Bonhoeffer.txt,20th-century German philosophers,
Dietrich of Freiberg,13th century,Dietrich_of_Freiberg.txt,,
Dignaga,c. 480–c. 540,Dignaga.txt,Idealists,
Dimitri Pisarev,1840–1868,Dimitri_Pisarev.txt,Social critics,
Dimitri Uznadze,1886–1950,Dimitri_Uznadze.txt,Leipzig University alumni,
Diodorus Cronus,3rd century BC,Diodorus_Cronus.txt,4th-century BC philosophers,
Diogenes Laërtius,3rd century,Diogenes_Laërtius.txt,Year of birth unknown,
Diogenes of Apollonia,c. 460 BC,Diogenes_of_Apollonia.txt,5th-century BC philosophers,
Diogenes of Babylon,c. 230–c. 150/140 BC,Diogenes_of_Babylon.txt,Year of birth unknown,
Diogenes of Oenoanda,2nd century,Diogenes_of_Oenoanda.txt,2nd-century philosophers,
Diogenes of Sinope,412–323 BC,Diogenes_of_Sinope.txt,Philosophers of mind,Philosophers of mind
Dirk Benedict,born 1945,Dirk_Benedict.txt,1945 births,
Dogen,1200–1253,Dogen.txt,Founders of religions,
Domenico Losurdo,1941–2018,Domenico_Losurdo.txt,Italian philosophers,
Domingo Báñez,1528–1604,Domingo_Báñez.txt,Latin commentators on Aristotle,
Domingo de Soto,1494–1560,Domingo_de_Soto.txt,Catholic philosophers,
Donald Cary Williams,1899–1983,Donald_Cary_Williams.txt,Analytic philosophers,
Donald Davidson (philosopher),1917–2003,Donald_Davidson_(philosopher).txt,Epistemologists,Philosophers of mind
Dong Zhongshu,c. 176–c. 104,Dong_Zhongshu.txt,Chinese Confucianists,
Dorothy Maud Wrinch,1894–1976,Dorothy_Maud_Wrinch.txt,English philosophers,
Dugald Stewart,1753–1828,Dugald_Stewart.txt,Moral philosophers,
Duns Scotus,c. 1266–1308,Duns_Scotus.txt,Philosophers of language,Philosophers of language
Durandus of St. Pourçain,c. 1275–1334,Durandus_of_St._Pourçain.txt,Scholastic philosophers,
Désiré-Joseph Mercier,1851–1926,Désiré-Joseph_Mercier.txt,1851 births,
Edgar Morin,born 1921,Edgar_Morin.txt,Epistemologists,
Edgar S. Brightman,1884–1953,Edgar_S._Brightman.txt,Christian philosophers,
Edith Stein,1891–1942,Edith_Stein.txt,Jewish philosophers,
Edmund Burke,1729–1797,Edmund_Burke.txt,Philosophers of culture,Philosophers of culture
Edmund Gettier,1927–2021,Edmund_Gettier.txt,Epistemologists,Philosophers of mind
Edmund Gurney,1847–1888,Edmund_Gurney.txt,"Alumni of Trinity College, Cambridge",
Edmund Husserl,1859–1938,Edmund_Husserl.txt,Epistemologists,Philosophers of mind
Edmund Montgomery,1835–1911,Edmund_Montgomery.txt,Scottish philosophers,
Edouard Le Roy,1870–1954,Edouard_Le_Roy.txt,Catholic philosophers,
Eduard Bernstein,1850–1932,Eduard_Bernstein.txt,Marxist theorists,
Eduard Hanslick,1825–1904,Eduard_Hanslick.txt,University of Vienna faculty,
Eduard Von Hartmann,1842–1906,Eduard_Von_Hartmann.txt,19th-century German male writers,Philosophers of pessimism
Eduard Zeller,1814–1908,Eduard_Zeller.txt,Epistemologists,Philosophers of mind
Eduardo Rabossi,1930–2005,Eduardo_Rabossi.txt,1930 births,
Edvard Westermarck,1862–1939,Edvard_Westermarck.txt,Moral philosophers,
Edward Bullough,1880–1934,Edward_Bullough.txt,Philosophers of art,Philosophers of art
Edward Caird,1835–1908,Edward_Caird.txt,Fellows of the British Academy,
Edward Carpenter,1844–1929,Edward_Carpenter.txt,Libertarian socialists,
Edward Gibbon,1737–1794,Edward_Gibbon.txt,Social critics,
"Edward Herbert, 1st Baron Herbert of Cherbury",1583–1648,"Edward_Herbert,_1st_Baron_Herbert_of_Cherbury.txt",English philosophers,
Edward N. Zalta,born 1952,Edward_N._Zalta.txt,Epistemologists,Philosophers of mind
Edward Stachura,1937–1979,Edward_Stachura.txt,20th-century male writers,
Edwin Holt,1873–1946,Edwin_Holt.txt,20th-century American philosophers,
Ehrenfried Walther von Tschirnhaus,1651–1708,Ehrenfried_Walther_von_Tschirnhaus.txt,Members of the French Academy of Sciences,
Eli Siegel,1902–1978,Eli_Siegel.txt,20th-century American philosophers,
Elihu Palmer,1764–1806,Elihu_Palmer.txt,Deist philosophers,
Elijah Delmedigo,1460–1497,Elijah_Delmedigo.txt,Jewish philosophers,
"Elisabeth of Bohemia, Princess Palatine",1618–1680,"Elisabeth_of_Bohemia,_Princess_Palatine.txt",German women philosophers,
Elliott Sober,born 1948,Elliott_Sober.txt,Philosophers of science,Philosophers of science
Emanuel Swedenborg,1688–1772,Emanuel_Swedenborg.txt,Epistemologists,Philosophers of mind
Emerich de Vattel,1714–1767,Emerich_de_Vattel.txt,Philosophers of law,Philosophers of law
Emil Brunner,1889–1966,Emil_Brunner.txt,Calvinist and Reformed philosophers,
Emil Cioran,1911–1995,Emil_Cioran.txt,Epistemologists,Philosophers of mind
Emil Fackenheim,1916–2003,Emil_Fackenheim.txt,Jewish philosophers,Philosophers of Judaism
Emil Leon Post,1897–1954,Emil_Leon_Post.txt,American logicians,
Emil du Bois-Reymond,1818–1896,Emil_du_Bois-Reymond.txt,Philosophers of mind,Philosophers of mind
Emile Boutroux,1845–1921,Emile_Boutroux.txt,French male non-fiction writers,
Emile Meyerson,1859–1933,Emile_Meyerson.txt,Epistemologists,Philosophers of science
Emmanuel Levinas,1906–1995,Emmanuel_Levinas.txt,Epistemologists,Philosophers of mind
Emmanuel Mounier,1905–1950,Emmanuel_Mounier.txt,Catholic philosophers,
Empedocles,490 BC–430 BC,Empedocles.txt,Philosophers of science,Philosophers of science
Enrique Dussel,born 1934,Enrique_Dussel.txt,Continental philosophers,
Enrique Molina Garmendia,1871–1962,Enrique_Molina_Garmendia.txt,1964 deaths,
Epicharmus,c. 540–450 BC,Epicharmus.txt,Pythagoreans,
Epictetus,AD 55–c. 135,Epictetus.txt,Philosophers of mind,Philosophers of mind
Epicurus,341 BC–270 BC,Epicurus.txt,Epistemologists,Philosophers of mind
Erasmus Darwin,1731–1802,Erasmus_Darwin.txt,Fellows of the Royal Society,
Eric Voegelin,1901–1985,Eric_Voegelin.txt,20th-century American philosophers,
Erich Fromm,1900–1980,Erich_Fromm.txt,Jewish philosophers,Philosophers of love
Ernest Nagel,1901–1985,Ernest_Nagel.txt,Ontologists,Philosophers of science
Ernest Sosa,born 1940,Ernest_Sosa.txt,Epistemologists,
Ernest Wamba dia Wamba,1942–2020,Ernest_Wamba_dia_Wamba.txt,Political philosophers,
Ernesto Che Guevara,1928–1967,Ernesto_Che_Guevara.txt,20th-century essayists,
Ernesto Laclau,1935–2014,Ernesto_Laclau.txt,Continental philosophers,
Ernst Bloch (philosopher),1885–1977,Ernst_Bloch_(philosopher).txt,Social philosophers,
Ernst Cassirer,1874–1945,Ernst_Cassirer.txt,Jewish philosophers,
Ernst Haeckel,1834–1919,Ernst_Haeckel.txt,German male writers,
Ernst Jünger,1895–1998,Ernst_Jünger.txt,20th-century German philosophers,
Ernst Laas,1837–1885,Ernst_Laas.txt,German male writers,
Ernst Mach,1838–1916,Ernst_Mach.txt,Philosophers of science,Philosophers of science
Ernst Mally,1879–1944,Ernst_Mally.txt,Epistemologists,Philosophers of science
Ernst Mayr,1904–2005,Ernst_Mayr.txt,20th-century American philosophers,
Ernst Troeltsch,1865–1923,Ernst_Troeltsch.txt,Humboldt University of Berlin alumni,
Ernst Tugendhat,born 1930,Ernst_Tugendhat.txt,Philosophers of mind,Philosophers of mind
Ernst Zermelo,1871–1953,Ernst_Zermelo.txt,20th-century German philosophers,
Errico Malatesta,1853–1932,Errico_Malatesta.txt,Anarchist theorists,
Erwin Rohde,1845–1898,Erwin_Rohde.txt,Leipzig University alumni,
Erwin Schrödinger,1887–1961,Erwin_Schrödinger.txt,Philosophers of science,Philosophers of science
Eudoxus of Cnidus,410/408 BC–355 or 347 BC,Eudoxus_of_Cnidus.txt,4th-century BC philosophers,
Eugen Dühring,1833–1921,Eugen_Dühring.txt,German male non-fiction writers,
Eugen Fink,1905–1975,Eugen_Fink.txt,Epistemologists,Philosophers of mind
Eugen Rosenstock-Huessy,1888–1973,Eugen_Rosenstock-Huessy.txt,20th-century American philosophers,
Eusebius of Caesarea,264–339,Eusebius_of_Caesarea.txt,4th-century philosophers,
Evald Vassilievich Ilyenkov,1924–1979,Evald_Vassilievich_Ilyenkov.txt,Marxist theorists,
Evander Bradley McGilvary,1864–1953,Evander_Bradley_McGilvary.txt,American philosophers,
F. C. S. Schiller,1864–1937,F._C._S._Schiller.txt,Epistemologists,Philosophers of mind
F. H. Bradley,1846–1924,F._H._Bradley.txt,Epistemologists,Philosophers of mind
Fakhr al-Din al-Razi,1149–1209,Fakhr_al-Din_al-Razi.txt,Islamic philosophers,
Fazang,643–712,Fazang.txt,Tang dynasty Buddhists,
Felix Krueger,1874–1948,Felix_Krueger.txt,Leipzig University faculty,
Felix Ravaisson-Mollien,1813–1900,Felix_Ravaisson-Mollien.txt,Epistemologists,Philosophers of mind
Felix Weltsch,1884–1964,Felix_Weltsch.txt,Jewish philosophers,
Feng Youlan,1895–1990,Feng_Youlan.txt,Historians of philosophy,
Ferdinand Lassalle,1825–1864,Ferdinand_Lassalle.txt,Jewish socialists,
Ferdinand de Saussure,1857–1913,Ferdinand_de_Saussure.txt,Philosophers of culture,Philosophers of culture
Fernando Savater,born 1947,Fernando_Savater.txt,Philosophers of education,Philosophers of education
Florian Znaniecki,1882–1958,Florian_Znaniecki.txt,Columbia University faculty,
Francesco Bonatelli,1830–1911,Francesco_Bonatelli.txt,Philosophers of mind,Philosophers of mind
Francesco Patrizi da Cherso,1529–1597,Francesco_Patrizi_da_Cherso.txt,Catholic philosophers,
Francesco Silvestri,1474–1528,Francesco_Silvestri.txt,Italian Dominicans,
Francesco de Sanctis (critic),1817–1883,Francesco_de_Sanctis_(critic).txt,1817 births,
Francis Bacon,1561–1626,Francis_Bacon.txt,Epistemologists,Philosophers of mind
Francis Hutcheson (philosopher),1694–1746,Francis_Hutcheson_(philosopher).txt,Epistemologists,Philosophers of mind
Francis Parker Yockey,1917–1960,Francis_Parker_Yockey.txt,American male non-fiction writers,
Francis of Marchia,ca. 1290–ca. 1344,Francis_of_Marchia.txt,Scholastic philosophers,
Francis of Meyronnes,1285–1328,Francis_of_Meyronnes.txt,French male writers,
Francisco Romero (philosopher),1891–1962,Francisco_Romero_(philosopher).txt,1962 deaths,
Francisco Sanches,1551–1623,Francisco_Sanches.txt,17th-century philosophers,
Francisco Suárez,1548–1617,Francisco_Suárez.txt,Epistemologists,
Francisco Varela,1946–2001,Francisco_Varela.txt,Harvard University alumni,
Francisco de Vitoria,1492–1546,Francisco_de_Vitoria.txt,Catholic philosophers,
Franciscus Mercurius van Helmont,1614–1698,Franciscus_Mercurius_van_Helmont.txt,17th-century alchemists,
Franciscus Toletus,1515–1584,Franciscus_Toletus.txt,Latin commentators on Aristotle,
Frank Cameron Jackson,born 1943,Frank_Cameron_Jackson.txt,Epistemologists,Philosophers of mind
Frank P. Ramsey,1903–1930,Frank_P._Ramsey.txt,Epistemologists,Philosophers of science
Frans Hemsterhuis,1721–1790,Frans_Hemsterhuis.txt,Enlightenment philosophers,
Frantz Fanon,1925–1961,Frantz_Fanon.txt,20th-century French philosophers,
Franz Brentano,1838–1917,Franz_Brentano.txt,Epistemologists,Philosophers of mind
Franz Jakubowski,1912–1970,Franz_Jakubowski.txt,Marxist theorists,
Franz Kafka,1883–1924,Franz_Kafka.txt,Aphorists,
Franz Rosenzweig,1886–1929,Franz_Rosenzweig.txt,Jewish philosophers,Philosophers of Judaism
Franz Xaver von Baader,1765–1841,Franz_Xaver_von_Baader.txt,German male non-fiction writers,
François Bernier,1620–1688,François_Bernier.txt,French male non-fiction writers,
François Poullain de la Barre,1647–1723,François_Poullain_de_la_Barre.txt,French male non-fiction writers,
François Rabelais,1493–1553,François_Rabelais.txt,French Roman Catholics,
François de La Mothe Le Vayer,1588–1672,François_de_La_Mothe_Le_Vayer.txt,French male non-fiction writers,
François de La Rochefoucauld (writer),1613–1680,François_de_La_Rochefoucauld_(writer).txt,French male non-fiction writers,
François de Salignac de la Mothe-Fénelon,1651–1715,François_de_Salignac_de_la_Mothe-Fénelon.txt,French male non-fiction writers,
François-René de Chateaubriand,1768–1848,François-René_de_Chateaubriand.txt,Recipients of the Pour le Mérite (civil class),
Fred Dretske,1932–2013,Fred_Dretske.txt,Epistemologists,Philosophers of mind
Frederick Douglass,1818–1895,Frederick_Douglass.txt,Anglican saints,
Frederick Robert Tennant,1866–1957,Frederick_Robert_Tennant.txt,Philosophers of religion,Philosophers of religion
Fredric Jameson,born 1934,Fredric_Jameson.txt,20th-century American philosophers,
Friedrich Adolf Trendelenburg,1802–1872,Friedrich_Adolf_Trendelenburg.txt,Epistemologists,Philosophers of mind
Friedrich Albert Lange,1828–1875,Friedrich_Albert_Lange.txt,19th-century philosophers,
Friedrich Eduard Beneke,1798–1854,Friedrich_Eduard_Beneke.txt,Epistemologists,Philosophers of mind
Friedrich Engels,1820–1895,Friedrich_Engels.txt,Philosophers of culture,Philosophers of culture
Friedrich Fröbel,1782–1852,Friedrich_Fröbel.txt,German Lutherans,
Friedrich Gogarten,1887–1968,Friedrich_Gogarten.txt,German Lutheran theologians,
Friedrich Hayek,1899–1992,Friedrich_Hayek.txt,Fellows of the British Academy,Philosophers of law
Friedrich Heinrich Jacobi,1743–1819,Friedrich_Heinrich_Jacobi.txt,19th-century philosophers,
Friedrich Hölderlin,1770–1843,Friedrich_Hölderlin.txt,19th-century German male writers,
Friedrich Karl von Savigny,1779–1861,Friedrich_Karl_von_Savigny.txt,Recipients of the Pour le Mérite (civil class),
Friedrich Meinecke,1862–1954,Friedrich_Meinecke.txt,German male non-fiction writers,
Friedrich Nietzsche,1844–1900,Friedrich_Nietzsche.txt,Epistemologists,Philosophers of mind
Friedrich Paulsen,1846–1908,Friedrich_Paulsen.txt,Epistemologists,Philosophers of mind
Friedrich Schelling,1775–1852,Friedrich_Schelling.txt,Epistemologists,Philosophers of mind
Friedrich Schiller,1759–1805,Friedrich_Schiller.txt,Philosophers of culture,Philosophers of culture
Friedrich Schleiermacher,1768–1834,Friedrich_Schleiermacher.txt,Epistemologists,Philosophers of mind
Friedrich Waismann,1896–1959,Friedrich_Waismann.txt,Philosophers of language,Philosophers of language
Friedrich von Hügel,1852–1925,Friedrich_von_Hügel.txt,Catholic philosophers,
Fritz Mauthner,1849–1923,Fritz_Mauthner.txt,Austrian male writers,
Fujiwara Seika,1561–1619,Fujiwara_Seika.txt,Japanese writers of the Edo period,
Fyodor Dostoyevsky,1821–1881,Fyodor_Dostoyevsky.txt,Critics of atheism,Philosophers of the Russian Empire
Félix Guattari,1930–1992,Félix_Guattari.txt,Epistemologists,Philosophers of mind
G. E. M. Anscombe,1918–2001,G._E._M._Anscombe.txt,Philosophers of mind,Philosophers of mind
G. E. Moore,1873–1958,G._E._Moore.txt,Epistemologists,Philosophers of mind
Gabriel Biel,1425–1495,Gabriel_Biel.txt,Scholastic philosophers,
Gabriel Marcel,1887–1973,Gabriel_Marcel.txt,Ontologists,
Gabrielle Suchon,1631–1703,Gabrielle_Suchon.txt,Catholic philosophers,
Gaetano Mosca,1858–1941,Gaetano_Mosca.txt,20th-century Italian philosophers,
Gaius (jurist),110–180,Gaius_(jurist).txt,2nd-century Romans,
Gaius Marius Victorinus,4th century,Gaius_Marius_Victorinus.txt,Catholic philosophers,
Galen,131–201,Galen.txt,Middle Platonists,
Galen Strawson,born 1952,Galen_Strawson.txt,Analytic philosophers,Philosophers of identity
Galileo Galilei,1564–1642,Galileo_Galilei.txt,Philosophers of science,Philosophers of science
Gangeśa,fl. c. 1325,Gangeśa.txt,Epistemologists,
Gareth Evans (philosopher),1946–1980,Gareth_Evans_(philosopher).txt,Epistemologists,Philosophers of mind
Gaston Bachelard,1884–1962,Gaston_Bachelard.txt,Epistemologists,Philosophers of mind
Gaston Milhaud,1858–1918,Gaston_Milhaud.txt,Philosophers of science,Philosophers of science
Gaunilo of Marmoutiers,11th century,Gaunilo_of_Marmoutiers.txt,Scholastic philosophers,
Gautama Buddha,ca. 563–483 BC,Gautama_Buddha.txt,Philosophers of mind,Philosophers of mind
Gayatri Chakravorty Spivak,born 1942,Gayatri_Chakravorty_Spivak.txt,Critical theorists,
Ge Hong,4th century,Ge_Hong.txt,Jin dynasty (266–420) philosophers,
Gemistus Pletho,c. 1355 – c. 1452,Gemistus_Pletho.txt,Neoplatonists,
Genevieve Lloyd,born 1941,Genevieve_Lloyd.txt,Spinoza scholars,
Geoffrey J. Warnock,1923–1996,Geoffrey_J._Warnock.txt,Philosophers of education,Philosophers of education
Georg Bernhard Bilfinger,1693–1750,Georg_Bernhard_Bilfinger.txt,German male writers,
Georg Cantor,1845–1918,Georg_Cantor.txt,20th-century German philosophers,
Georg Christoph Lichtenberg,1742–1799,Georg_Christoph_Lichtenberg.txt,German male non-fiction writers,
Georg Friedrich Meier,1718–1777,Georg_Friedrich_Meier.txt,Philosophers of art,Philosophers of art
Georg Henrik von Wright,1916–2003,Georg_Henrik_von_Wright.txt,Philosophers of mind,Philosophers of mind
Georg Kreisel,1923–2015,Georg_Kreisel.txt,Fellows of the Royal Society,
Georg Lukács,1885–1971,Georg_Lukács.txt,Epistemologists,Philosophers of culture
Georg Simmel,1858–1918,Georg_Simmel.txt,Moral philosophers,Philosophers of culture
Georg Wilhelm Friedrich Hegel,1770–1831,Georg_Wilhelm_Friedrich_Hegel.txt,Epistemologists,Philosophers of mind
George Berkeley,1685–1753,George_Berkeley.txt,Epistemologists,Philosophers of science
George Boole,1815–1864,George_Boole.txt,Fellows of the Royal Society,
George Eliot,1819–1880,George_Eliot.txt,English philosophers,
George Frederick Stout,1860–1944,George_Frederick_Stout.txt,English philosophers,
George Herbert Mead,1863–1931,George_Herbert_Mead.txt,Philosophers of science,Philosophers of science
George Howison,1834–1916,George_Howison.txt,20th-century American philosophers,
George Santayana,1863–1952,George_Santayana.txt,Epistemologists,Philosophers of mind
George Steiner,1929–2020,George_Steiner.txt,Jewish philosophers,
George of Trebizond,1395–1484,George_of_Trebizond.txt,15th-century philosophers,
Georges Bataille,1897–1962,Georges_Bataille.txt,Philosophers of mind,Philosophers of mind
Georges Canguilhem,1904–1995,Georges_Canguilhem.txt,Epistemologists,Philosophers of science
Georges Florovsky,1893–1979,Georges_Florovsky.txt,1893 births,
Georges Sorel,1847–1922,Georges_Sorel.txt,Philosophers of science,Philosophers of science
"Georges-Louis Leclerc, Comte de Buffon",1707–1788,"Georges-Louis_Leclerc,_Comte_de_Buffon.txt",French male non-fiction writers,
Georgi Plekhanov,1856–1918,Georgi_Plekhanov.txt,Marxist theorists,
Gerald Cohen,1941–2009,Gerald_Cohen.txt,Jewish philosophers,
Gerard of Cremona,1114–1187,Gerard_of_Cremona.txt,12th-century Latin writers,
Gerard of Odo,1290–1349,Gerard_of_Odo.txt,Year of birth unknown,
Geraud de Cordemoy,1626–1684,Geraud_de_Cordemoy.txt,French male non-fiction writers,
Gerhard Gentzen,1909–1945,Gerhard_Gentzen.txt,20th-century German philosophers,
Germain Grisez,1929–2018,Germain_Grisez.txt,Catholic philosophers,
Gerolamo Cardano,1501–1576,Gerolamo_Cardano.txt,16th-century Latin-language writers,
Gershom Carmichael,c. 1672–1729,Gershom_Carmichael.txt,Moral philosophers,
Gershom Scholem,1897–1982,Gershom_Scholem.txt,Philosophers of religion,Philosophers of religion
Gersonides,1288–1344,Gersonides.txt,Jewish philosophers,Philosophers of Judaism
Giacinto Sigismondo Gerdil,1718–1802,Giacinto_Sigismondo_Gerdil.txt,University of Turin faculty,
Giacomo Leopardi,1798–1837,Giacomo_Leopardi.txt,Aphorists,Philosophers of nihilism
Giambattista Vico,1668–1744,Giambattista_Vico.txt,Epistemologists,Philosophers of mind
Giambattista della Porta,c. 1535–1615,Giambattista_della_Porta.txt,Italian Roman Catholics,
Gian-Carlo Rota,1932–1999,Gian-Carlo_Rota.txt,Phenomenologists,
Gianni Vattimo,born 1936,Gianni_Vattimo.txt,Epistemologists,Philosophers of mind
Gilbert Harman,born 1938,Gilbert_Harman.txt,Epistemologists,Philosophers of mind
Gilbert Ryle,1900–1976,Gilbert_Ryle.txt,Epistemologists,Philosophers of mind
Gilbert de la Porrée,1070–1154,Gilbert_de_la_Porrée.txt,Catholic philosophers,
Giles of Rome,c. 1243–1316,Giles_of_Rome.txt,Catholic philosophers,
Gilles Deleuze,1925–1995,Gilles_Deleuze.txt,Epistemologists,Philosophers of mind
Giordano Bruno,1548–1600,Giordano_Bruno.txt,Natural philosophers,
Giorgio Del Vecchio,1878–1970,Giorgio_Del_Vecchio.txt,Jewish philosophers,Philosophers of law
Giovanni Gentile,1875–1944,Giovanni_Gentile.txt,Continental philosophers,
Giovanni Papini,1881–1956,Giovanni_Papini.txt,20th-century essayists,
Giovanni Pico della Mirandola,1463–1494,Giovanni_Pico_della_Mirandola.txt,Philosophers of mind,Philosophers of mind
Giuseppe Peano,1858–1932,Giuseppe_Peano.txt,20th-century Italian philosophers,
Godfrey of Fontaines,c. 1250–1309,Godfrey_of_Fontaines.txt,Catholic philosophers,
Gongsun Longzi,c. 300 BC,Gongsun_Longzi.txt,Philosophers of language,Philosophers of language
Gorampa,1429–1489,Gorampa.txt,Tibetan philosophers,
Gorgias,c. 483–375 BC,Gorgias.txt,5th-century BC philosophers,Philosophers of nihilism
Gottfried Benn,1886–1956,Gottfried_Benn.txt,20th-century essayists,
Gottfried Leibniz,1646–1716,Gottfried_Leibniz.txt,Epistemologists,Philosophers of mind
Gotthold Ephraim Lessing,1729–1781,Gotthold_Ephraim_Lessing.txt,German male non-fiction writers,
Gottlieb Fichte,1762–1814,Gottlieb_Fichte.txt,,
Gottlob Ernst Schulze,1761–1833,Gottlob_Ernst_Schulze.txt,Epistemologists,Philosophers of mind
Gottlob Frege,1848–1925,Gottlob_Frege.txt,Epistemologists,Philosophers of mind
Gregor Mendel,1822–1884,Gregor_Mendel.txt,Catholic philosophers,
Gregory Vlastos,1907–1991,Gregory_Vlastos.txt,Corresponding Fellows of the British Academy,
Gregory of Nazianzus,329–389,Gregory_of_Nazianzus.txt,Catholic philosophers,
Gregory of Nyssa,c. 335–398,Gregory_of_Nyssa.txt,Catholic philosophers,
Gregory of Rimini,d. 1358,Gregory_of_Rimini.txt,Scholastic philosophers,
Guan Zhong,740–645 BC,Guan_Zhong.txt,Philosophers of law,Philosophers of law
Guillaume du Vair,1556–1621,Guillaume_du_Vair.txt,French male writers,
Guo Xiang,c. 252–312,Guo_Xiang.txt,Jin dynasty (266–420) philosophers,
Gustav Bergmann,1906–1987,Gustav_Bergmann.txt,Metaphysicians,Philosophers of science
Gustav Fechner,1801–1887,Gustav_Fechner.txt,Leipzig University alumni,
Gustav Gustavovich Shpet,1879–1937,Gustav_Gustavovich_Shpet.txt,Phenomenologists,
Gustav Radbruch,1878–1949,Gustav_Radbruch.txt,Humboldt University of Berlin alumni,
Gustav Teichmuller,1837–1888,Gustav_Teichmuller.txt,German male writers,
Gustave Belot,1859–1929,Gustave_Belot.txt,Moral philosophers,
Guy Debord,1931–1994,Guy_Debord.txt,Philosophers of culture,Philosophers of culture
Gwenaëlle Aubry,born 1971,Gwenaëlle_Aubry.txt,20th-century French philosophers,
Gwilyn Ellis Lane Owen,1922–1982,Gwilyn_Ellis_Lane_Owen.txt,Fellows of the British Academy,
Gyaltsab Je,1364–1432,Gyaltsab_Je.txt,Ganden Tripas,
György Mihály Vajda,born 1935,György_Mihály_Vajda.txt,1935 births,
Gáspár Miklós Tamás,born 1948,Gáspár_Miklós_Tamás.txt,Cultural critics,
H. L. A. Hart,1907–1992,H._L._A._Hart.txt,Jewish philosophers,Philosophers of law
H. Richard Niebuhr,1894–1962,H._Richard_Niebuhr.txt,Yale University faculty,
Han Feizi,died 233 BC,Han_Feizi.txt,Chinese classic texts,
Han Yu,768–824,Han_Yu.txt,Chinese Confucianists,
Hannah Arendt,1906–1975,Hannah_Arendt.txt,Moral philosophers,Philosophers of science
Hans Adolf Eduard Driesch,1867–1941,Hans_Adolf_Eduard_Driesch.txt,20th-century German philosophers,
Hans Albert,born 1921,Hans_Albert.txt,Epistemologists,Philosophers of science
Hans Christian Ørsted,1777–1851,Hans_Christian_Ørsted.txt,Fellows of the American Academy of Arts and Sciences,
Hans Kelsen,1881–1973,Hans_Kelsen.txt,Jewish philosophers,Philosophers of law
Hans Reichenbach,1891–1953,Hans_Reichenbach.txt,Philosophers of science,Philosophers of science
Hans Vaihinger,1852–1933,Hans_Vaihinger.txt,Humboldt University of Berlin alumni,
Hans Wilhelm Frei,1922–1988,Hans_Wilhelm_Frei.txt,German male non-fiction writers,
Hans-Georg Gadamer,1900–2002,Hans-Georg_Gadamer.txt,Epistemologists,Philosophers of mind
Hao Wang (academic),1921–1995,Hao_Wang_(academic).txt,Philosophers of mathematics,Philosophers of mathematics
Harald Høffding,1843–1931,Harald_Høffding.txt,Corresponding Fellows of the British Academy,
Harold Arthur Prichard,1871–1947,Harold_Arthur_Prichard.txt,English philosophers,
Harriet Martineau,1802–1876,Harriet_Martineau.txt,19th-century British philosophers,
