Name,Birth/death dates,File name
Evander Bradley McGilvary,1864–1953,Evander_Bradley_McGilvary.txt
F. C. S. Schiller,1864–1937,F._C._S._Schiller.txt
F. H. Bradley,1846–1924,F._H._Bradley.txt
Fakhr al-Din al-Razi,1149–1209,Fakhr_al-Din_al-Razi.txt
Fazang,643–712,Fazang.txt
Felix Krueger,1874–1948,Felix_Krueger.txt
Felix Ravaisson-Mollien,1813–1900,Felix_Ravaisson-Mollien.txt
Felix Weltsch,1884–1964,Felix_Weltsch.txt
Feng Youlan,1895–1990,Feng_Youlan.txt
Ferdinand Lassalle,1825–1864,Ferdinand_Lassalle.txt
Ferdinand de Saussure,1857–1913,Ferdinand_de_Saussure.txt
Fernando Savater,born 1947,Fernando_Savater.txt
Florian Znaniecki,1882–1958,Florian_Znaniecki.txt
Francesco Bonatelli,1830–1911,Francesco_Bonatelli.txt
Francesco Patrizi da Cherso,1529–1597,Francesco_Patrizi_da_Cherso.txt
Francesco Silvestri,1474–1528,Francesco_Silvestri.txt
Francesco de Sanctis (critic),1817–1883,Francesco_de_Sanctis_(critic).txt
Francis Bacon,1561–1626,Francis_Bacon.txt
Francis Hutcheson (philosopher),1694–1746,Francis_Hutcheson_(philosopher).txt
Francis Parker Yockey,1917–1960,Francis_Parker_Yockey.txt
Francis of Marchia,ca. 1290–ca. 1344,Francis_of_Marchia.txt
Francis of Meyronnes,1285–1328,Francis_of_Meyronnes.txt
Francisco Romero (philosopher),1891–1962,Francisco_Romero_(philosopher).txt
Francisco Sanches,1551–1623,Francisco_Sanches.txt
Francisco Suárez,1548–1617,Francisco_Suárez.txt
Francisco Varela,1946–2001,Francisco_Varela.txt
Francisco de Vitoria,1492–1546,Francisco_de_Vitoria.txt
Franciscus Mercurius van Helmont,1614–1698,Franciscus_Mercurius_van_Helmont.txt
Franciscus Toletus,1515–1584,Franciscus_Toletus.txt
Frank Cameron Jackson,born 1943,Frank_Cameron_Jackson.txt
Frank P. Ramsey,1903–1930,Frank_P._Ramsey.txt
Frans Hemsterhuis,1721–1790,Frans_Hemsterhuis.txt
Frantz Fanon,1925–1961,Frantz_Fanon.txt
Franz Brentano,1838–1917,Franz_Brentano.txt
Franz Jakubowski,1912–1970,Franz_Jakubowski.txt
Franz Kafka,1883–1924,Franz_Kafka.txt
Franz Rosenzweig,1886–1929,Franz_Rosenzweig.txt
Franz Xaver von Baader,1765–1841,Franz_Xaver_von_Baader.txt
François Bernier,1620–1688,François_Bernier.txt
François Poullain de la Barre,1647–1723,François_Poullain_de_la_Barre.txt
François Rabelais,1493–1553,François_Rabelais.txt
François de La Mothe Le Vayer,1588–1672,François_de_La_Mothe_Le_Vayer.txt
François de La Rochefoucauld (writer),1613–1680,François_de_La_Rochefoucauld_(writer).txt
François de Salignac de la Mothe-Fénelon,1651–1715,François_de_Salignac_de_la_Mothe-Fénelon.txt
François-René de Chateaubriand,1768–1848,François-René_de_Chateaubriand.txt
Fred Dretske,1932–2013,Fred_Dretske.txt
Frederick Douglass,1818–1895,Frederick_Douglass.txt
Frederick Robert Tennant,1866–1957,Frederick_Robert_Tennant.txt
Fredric Jameson,born 1934,Fredric_Jameson.txt
Friedrich Adolf Trendelenburg,1802–1872,Friedrich_Adolf_Trendelenburg.txt
Friedrich Albert Lange,1828–1875,Friedrich_Albert_Lange.txt
Friedrich Eduard Beneke,1798–1854,Friedrich_Eduard_Beneke.txt
Friedrich Engels,1820–1895,Friedrich_Engels.txt
Friedrich Fröbel,1782–1852,Friedrich_Fröbel.txt
Friedrich Gogarten,1887–1968,Friedrich_Gogarten.txt
Friedrich Hayek,1899–1992,Friedrich_Hayek.txt
Friedrich Heinrich Jacobi,1743–1819,Friedrich_Heinrich_Jacobi.txt
Friedrich Hölderlin,1770–1843,Friedrich_Hölderlin.txt
Friedrich Karl von Savigny,1779–1861,Friedrich_Karl_von_Savigny.txt
Friedrich Meinecke,1862–1954,Friedrich_Meinecke.txt
Friedrich Nietzsche,1844–1900,Friedrich_Nietzsche.txt
Friedrich Paulsen,1846–1908,Friedrich_Paulsen.txt
Friedrich Schelling,1775–1852,Friedrich_Schelling.txt
Friedrich Schiller,1759–1805,Friedrich_Schiller.txt
Friedrich Schleiermacher,1768–1834,Friedrich_Schleiermacher.txt
Friedrich Waismann,1896–1959,Friedrich_Waismann.txt
Friedrich von Hügel,1852–1925,Friedrich_von_Hügel.txt
Fritz Mauthner,1849–1923,Fritz_Mauthner.txt
Fujiwara Seika,1561–1619,Fujiwara_Seika.txt
Fyodor Dostoyevsky,1821–1881,Fyodor_Dostoyevsky.txt
Félix Guattari,1930–1992,Félix_Guattari.txt
G. E. M. Anscombe,1918–2001,G._E._M._Anscombe.txt
G. E. Moore,1873–1958,G._E._Moore.txt
Gabriel Biel,1425–1495,Gabriel_Biel.txt
Gabriel Marcel,1887–1973,Gabriel_Marcel.txt
Gabrielle Suchon,1631–1703,Gabrielle_Suchon.txt
Gaetano Mosca,1858–1941,Gaetano_Mosca.txt
Gaius (jurist),110–180,Gaius_(jurist).txt
Gaius Marius Victorinus,4th century,Gaius_Marius_Victorinus.txt
Galen,131–201,Galen.txt
Galen Strawson,born 1952,Galen_Strawson.txt
Galileo Galilei,1564–1642,Galileo_Galilei.txt
Gangeśa,fl. c. 1325,Gangeśa.txt
Gareth Evans (philosopher),1946–1980,Gareth_Evans_(philosopher).txt
Gaston Bachelard,1884–1962,Gaston_Bachelard.txt
Gaston Milhaud,1858–1918,Gaston_Milhaud.txt
Gaunilo of Marmoutiers,11th century,Gaunilo_of_Marmoutiers.txt
Gautama Buddha,ca. 563–483 BC,Gautama_Buddha.txt
Gayatri Chakravorty Spivak,born 1942,Gayatri_Chakravorty_Spivak.txt
Ge Hong,4th century,Ge_Hong.txt
Gemistus Pletho,c. 1355 – c. 1452,Gemistus_Pletho.txt
Genevieve Lloyd,born 1941,Genevieve_Lloyd.txt
Geoffrey J. Warnock,1923–1996,Geoffrey_J._Warnock.txt
Georg Bernhard Bilfinger,1693–1750,Georg_Bernhard_Bilfinger.txt
Georg Cantor,1845–1918,Georg_Cantor.txt
Georg Christoph Lichtenberg,1742–1799,Georg_Christoph_Lichtenberg.txt
Georg Friedrich Meier,1718–1777,Georg_Friedrich_Meier.txt
Georg Henrik von Wright,1916–2003,Georg_Henrik_von_Wright.txt
Georg Kreisel,1923–2015,Georg_Kreisel.txt
Georg Lukács,1885–1971,Georg_Lukács.txt
Georg Simmel,1858–1918,Georg_Simmel.txt
Georg Wilhelm Friedrich Hegel,1770–1831,Georg_Wilhelm_Friedrich_Hegel.txt
George Berkeley,1685–1753,George_Berkeley.txt
George Boole,1815–1864,George_Boole.txt
George Eliot,1819–1880,George_Eliot.txt
George Frederick Stout,1860–1944,George_Frederick_Stout.txt
George Herbert Mead,1863–1931,George_Herbert_Mead.txt
George Howison,1834–1916,George_Howison.txt
George Santayana,1863–1952,George_Santayana.txt
George Steiner,1929–2020,George_Steiner.txt
George of Trebizond,1395–1484,George_of_Trebizond.txt
Georges Bataille,1897–1962,Georges_Bataille.txt
Georges Canguilhem,1904–1995,Georges_Canguilhem.txt
Georges Florovsky,1893–1979,Georges_Florovsky.txt
Georges Sorel,1847–1922,Georges_Sorel.txt
"Georges-Louis Leclerc, Comte de Buffon",1707–1788,"Georges-Louis_Leclerc,_Comte_de_Buffon.txt"
Georgi Plekhanov,1856–1918,Georgi_Plekhanov.txt
Gerald Cohen,1941–2009,Gerald_Cohen.txt
Gerard of Cremona,1114–1187,Gerard_of_Cremona.txt
Gerard of Odo,1290–1349,Gerard_of_Odo.txt
Geraud de Cordemoy,1626–1684,Geraud_de_Cordemoy.txt
Gerhard Gentzen,1909–1945,Gerhard_Gentzen.txt
Germain Grisez,1929–2018,Germain_Grisez.txt
Gerolamo Cardano,1501–1576,Gerolamo_Cardano.txt
Gershom Carmichael,c. 1672–1729,Gershom_Carmichael.txt
Gershom Scholem,1897–1982,Gershom_Scholem.txt
Gersonides,1288–1344,Gersonides.txt
Giacinto Sigismondo Gerdil,1718–1802,Giacinto_Sigismondo_Gerdil.txt
Giacomo Leopardi,1798–1837,Giacomo_Leopardi.txt
Giambattista Vico,1668–1744,Giambattista_Vico.txt
Giambattista della Porta,c. 1535–1615,Giambattista_della_Porta.txt
Gian-Carlo Rota,1932–1999,Gian-Carlo_Rota.txt
Gianni Vattimo,born 1936,Gianni_Vattimo.txt
Gilbert Harman,born 1938,Gilbert_Harman.txt
Gilbert Ryle,1900–1976,Gilbert_Ryle.txt
Gilbert de la Porrée,1070–1154,Gilbert_de_la_Porrée.txt
Giles of Rome,c. 1243–1316,Giles_of_Rome.txt
Gilles Deleuze,1925–1995,Gilles_Deleuze.txt
Giordano Bruno,1548–1600,Giordano_Bruno.txt
Giorgio Del Vecchio,1878–1970,Giorgio_Del_Vecchio.txt
Giovanni Gentile,1875–1944,Giovanni_Gentile.txt
Giovanni Papini,1881–1956,Giovanni_Papini.txt
Giovanni Pico della Mirandola,1463–1494,Giovanni_Pico_della_Mirandola.txt
Giuseppe Peano,1858–1932,Giuseppe_Peano.txt
Godfrey of Fontaines,c. 1250–1309,Godfrey_of_Fontaines.txt
Gongsun Longzi,c. 300 BC,Gongsun_Longzi.txt
Gorampa,1429–1489,Gorampa.txt
Gorgias,c. 483–375 BC,Gorgias.txt
Gottfried Benn,1886–1956,Gottfried_Benn.txt
Gottfried Leibniz,1646–1716,Gottfried_Leibniz.txt
Gotthold Ephraim Lessing,1729–1781,Gotthold_Ephraim_Lessing.txt
Gottlieb Fichte,1762–1814,Gottlieb_Fichte.txt
Gottlob Ernst Schulze,1761–1833,Gottlob_Ernst_Schulze.txt
Gottlob Frege,1848–1925,Gottlob_Frege.txt
Gregor Mendel,1822–1884,Gregor_Mendel.txt
Gregory Vlastos,1907–1991,Gregory_Vlastos.txt
Gregory of Nazianzus,329–389,Gregory_of_Nazianzus.txt
Gregory of Nyssa,c. 335–398,Gregory_of_Nyssa.txt
Gregory of Rimini,d. 1358,Gregory_of_Rimini.txt
Guan Zhong,740–645 BC,Guan_Zhong.txt
Guillaume du Vair,1556–1621,Guillaume_du_Vair.txt
Guo Xiang,c. 252–312,Guo_Xiang.txt
Gustav Bergmann,1906–1987,Gustav_Bergmann.txt
Gustav Fechner,1801–1887,Gustav_Fechner.txt
Gustav Gustavovich Shpet,1879–1937,Gustav_Gustavovich_Shpet.txt
Gustav Radbruch,1878–1949,Gustav_Radbruch.txt
Gustav Teichmuller,1837–1888,Gustav_Teichmuller.txt
Gustave Belot,1859–1929,Gustave_Belot.txt
Guy Debord,1931–1994,Guy_Debord.txt
Gwenaëlle Aubry,born 1971,Gwenaëlle_Aubry.txt
Gwilyn Ellis Lane Owen,1922–1982,Gwilyn_Ellis_Lane_Owen.txt
Gyaltsab Je,1364–1432,Gyaltsab_Je.txt
György Mihály Vajda,born 1935,György_Mihály_Vajda.txt
Gáspár Miklós Tamás,born 1948,Gáspár_Miklós_Tamás.txt
H. L. A. Hart,1907–1992,H._L._A._Hart.txt
H. Richard Niebuhr,1894–1962,H._Richard_Niebuhr.txt
Han Feizi,died 233 BC,Han_Feizi.txt
Han Yu,768–824,Han_Yu.txt
Hannah Arendt,1906–1975,Hannah_Arendt.txt
Hans Adolf Eduard Driesch,1867–1941,Hans_Adolf_Eduard_Driesch.txt
Hans Albert,born 1921,Hans_Albert.txt
Hans Christian Ørsted,1777–1851,Hans_Christian_Ørsted.txt
Hans Kelsen,1881–1973,Hans_Kelsen.txt
Hans Reichenbach,1891–1953,Hans_Reichenbach.txt
Hans Vaihinger,1852–1933,Hans_Vaihinger.txt
Hans Wilhelm Frei,1922–1988,Hans_Wilhelm_Frei.txt
Hans-Georg Gadamer,1900–2002,Hans-Georg_Gadamer.txt
Hao Wang (academic),1921–1995,Hao_Wang_(academic).txt
Harald Høffding,1843–1931,Harald_Høffding.txt
Harold Arthur Prichard,1871–1947,Harold_Arthur_Prichard.txt
Harriet Martineau,1802–1876,Harriet_Martineau.txt
Harriet Taylor Mill,1807–1858,Harriet_Taylor_Mill.txt
Harry Frankfurt,born 1929,Harry_Frankfurt.txt
Hartry Field,born 1946,Hartry_Field.txt
Hasdai Crescas,c. 1340–1410,Hasdai_Crescas.txt
Hassan Hanafi,born 1935,Hassan_Hanafi.txt
Hastings Rashdall,1858–1924,Hastings_Rashdall.txt
Hayashi Razan,1583–1657,Hayashi_Razan.txt
Hector-Neri Castañeda,1924–1991,Hector-Neri_Castañeda.txt
Heinrich Christoph Wilhelm Sigwart,1789–1844,Heinrich_Christoph_Wilhelm_Sigwart.txt
Heinrich Cornelius Agrippa,1436–1535,Heinrich_Cornelius_Agrippa.txt
Heinrich Czolbe,1819–1873,Heinrich_Czolbe.txt
Heinrich Rickert,1863–1936,Heinrich_Rickert.txt
Heinrich Rudolf Hertz,1857–1894,Heinrich_Rudolf_Hertz.txt
Heinrich Scholz,1884–1956,Heinrich_Scholz.txt
Heinrich von Kleist,1777–1811,Heinrich_von_Kleist.txt
Helmut Reichelt,born 1939,Helmut_Reichelt.txt
Helmut Thielicke,1908–1986,Helmut_Thielicke.txt
Helmuth Plessner,1892–1985,Helmuth_Plessner.txt
Henri Bergson,1859–1941,Henri_Bergson.txt
Henri Lefebvre,1901–1991,Henri_Lefebvre.txt
Henri Poincaré,1854–1912,Henri_Poincaré.txt
Henri de Boulainvilliers,1658–1722,Henri_de_Boulainvilliers.txt
Henricus Regius,1598–1679,Henricus_Regius.txt
Henry Babcock Veatch,1911–1997,Henry_Babcock_Veatch.txt
Henry Corbin,1903–1978,Henry_Corbin.txt
Henry David Thoreau,1817–1862,Henry_David_Thoreau.txt
Henry Habberley Price,1899–1984,Henry_Habberley_Price.txt
"Henry Home, Lord Kames",1696–1782,"Henry_Home,_Lord_Kames.txt"
Henry James Sr.,1811–1882,Henry_James_Sr..txt
Henry Longueville Mansel,1820–1871,Henry_Longueville_Mansel.txt
Henry More,1614–1687,Henry_More.txt
Henry Sidgwick,1838–1900,Henry_Sidgwick.txt
"Henry St John, 1st Viscount Bolingbroke",1678–1751,"Henry_St_John,_1st_Viscount_Bolingbroke.txt"
Henry Stanton,1805–1887,Henry_Stanton.txt
Henry Suso,1300–1366,Henry_Suso.txt
Henry Thomas Buckle,1821–1862,Henry_Thomas_Buckle.txt
Henry of Ghent,c. 1217–1293,Henry_of_Ghent.txt
Henry of Harclay,1270–1317,Henry_of_Harclay.txt
Heraclides Ponticus,387–312 BC,Heraclides_Ponticus.txt
Heraclitus,ca. 535–475 BC,Heraclitus.txt
Herbert Feigl,1902–1988,Herbert_Feigl.txt
Herbert Marcuse,1898–1979,Herbert_Marcuse.txt
Herbert Spencer,1820–1903,Herbert_Spencer.txt
Herbert Spiegelberg,1904–1990,Herbert_Spiegelberg.txt
Herman Dooyeweerd,1894–1977,Herman_Dooyeweerd.txt
Hermann Cohen,1842–1918,Hermann_Cohen.txt
Hermann Friedrich Wilhelm Hinrichs,1794–1861,Hermann_Friedrich_Wilhelm_Hinrichs.txt
Hermann Graf Keyserling,1880–1946,Hermann_Graf_Keyserling.txt
Hermann Lotze,1817–1881,Hermann_Lotze.txt
Hermann Samuel Reimarus,1694–1768,Hermann_Samuel_Reimarus.txt
Hermann Ulrici,1806–1884,Hermann_Ulrici.txt
Hermann Weyl,1885–1955,Hermann_Weyl.txt
Hermann von Helmholtz,1821–1894,Hermann_von_Helmholtz.txt
Hervaeus Natalis,1250–1323,Hervaeus_Natalis.txt
Hesiod,c. 700 BC,Hesiod.txt
Hibat Allah Abu'l-Barakat al-Baghdaadi,1080–1165,Hibat_Allah_Abu'l-Barakat_al-Baghdaadi.txt
Hierocles (Stoic),2nd century,Hierocles_(Stoic).txt
Hilary Greaves,born 1978,Hilary_Greaves.txt
Hilary Putnam,1926–2016,Hilary_Putnam.txt
Hildegard of Bingen,1098–1179,Hildegard_of_Bingen.txt
Hillel ben Samuel of Verona,1220–1295,Hillel_ben_Samuel_of_Verona.txt
Hippias,5th century BC,Hippias.txt
Hippocrates,460–380 BC,Hippocrates.txt
Hippolyte Taine,1828–1893,Hippolyte_Taine.txt
Ho Yen,190–249,Ho_Yen.txt
Homer,c. 700 BC,Homer.txt
Hossein Nasr,born 1933,Hossein_Nasr.txt
Houston Stewart Chamberlain,1855–1927,Houston_Stewart_Chamberlain.txt
Hryhori Skovoroda,1722–1794,Hryhori_Skovoroda.txt
Hsi K'ang,223–262,Hsi_K'ang.txt
Hsiung Shih-li,1885–1968,Hsiung_Shih-li.txt
Hsu Fu-kuan,1903–1982,Hsu_Fu-kuan.txt
Hu Shih,1891–1962,Hu_Shih.txt
Huang Zongxi,1610–1695,Huang_Zongxi.txt
Hubert Damisch,1928–2017,Hubert_Damisch.txt
Hubert Schleichert,born 1935,Hubert_Schleichert.txt
Hugh Blair,1718–1800,Hugh_Blair.txt
Hugh of St Victor,c. 1078–1141,Hugh_of_St_Victor.txt
Hughes Felicité Robert de Lamennais,1752–1854,Hughes_Felicité_Robert_de_Lamennais.txt
Hugo Dingler,1881–1954,Hugo_Dingler.txt
Hugo Grotius,1583–1645,Hugo_Grotius.txt
Hui Shi,4th century BC,Hui_Shi.txt
Huston Smith,1919–2016,Huston_Smith.txt
Hypatia of Alexandria,370–415,Hypatia_of_Alexandria.txt
Hélène Cixous,born 1937,Hélène_Cixous.txt
I. A. Richards,1893–1979,I._A._Richards.txt
Iamblichus (philosopher),ca. 245&nbsp;AD-ca. 325,Iamblichus_(philosopher).txt
Ian Hacking,born 1936,Ian_Hacking.txt
Ian Thomas Ramsey,1915–1972,Ian_Thomas_Ramsey.txt
Ibn Arabi,1164–1240,Ibn_Arabi.txt
Ibn Bajjah,died 1138,Ibn_Bajjah.txt
Ibn Daud,1110–1180,Ibn_Daud.txt
Ibn Falaquera,1223–1290,Ibn_Falaquera.txt
Ibn Hazm,994–1069,Ibn_Hazm.txt
Ibn Kammuna,1215–1284,Ibn_Kammuna.txt
Ibn Khaldun,1332–1406,Ibn_Khaldun.txt
Ibn Masarra,883–931,Ibn_Masarra.txt
Ibn Miskawayh,940–1030,Ibn_Miskawayh.txt
Ibn Sabin,1217–1268,Ibn_Sabin.txt
Ibn Taymiya,1263–1328,Ibn_Taymiya.txt
Ibn Tufail,1110–1185,Ibn_Tufail.txt
Ibn ar-Rawandi,827–911,Ibn_ar-Rawandi.txt
Immanuel Kant,1724–1804,Immanuel_Kant.txt
Immanuel the Roman,c. 1270 – c. 1330,Immanuel_the_Roman.txt
Imre Lakatos,1922–1974,Imre_Lakatos.txt
Iris Marion Young,1949–2006,Iris_Marion_Young.txt
Iris Murdoch,1919–1999,Iris_Murdoch.txt
Isaac Abrabanel,1437–1508,Isaac_Abrabanel.txt
Isaac Albalag,13th century,Isaac_Albalag.txt
Isaac Israeli ben Solomon,c. 850–950,Isaac_Israeli_ben_Solomon.txt
Isaac La Peyrère,1596–1676,Isaac_La_Peyrère.txt
Isaac Newton,1642–1727,Isaac_Newton.txt
Isaac Orobio de Castro,1617–1687,Isaac_Orobio_de_Castro.txt
Isaac ben Joseph ibn Pulgar,14th century,Isaac_ben_Joseph_ibn_Pulgar.txt
Isaac ben Moses Arama,1420–1494,Isaac_ben_Moses_Arama.txt
Isaac of Stella,1105–1177,Isaac_of_Stella.txt
Isaiah Berlin,1909–1997,Isaiah_Berlin.txt
Isocrates,436–338 BC,Isocrates.txt
István Mészáros (philosopher),1930–2017,István_Mészáros_(philosopher).txt
Ito Jinsai,1627–1705,Ito_Jinsai.txt
Ivan Aleksandrovich Il'in,1883–1954,Ivan_Aleksandrovich_Il'in.txt
Ivan Kireevsky,1806–1856,Ivan_Kireevsky.txt
Ivan Pavlov,1849–1936,Ivan_Pavlov.txt
Ivan Sviták,1925–1994,Ivan_Sviták.txt
J. J. C. Smart,1920–2012,J._J._C._Smart.txt
J. J. Valberg,born 1936,J._J._Valberg.txt
J. L. Austin,1911–1960,J._L._Austin.txt
J. L. Mackie,1917–1981,J._L._Mackie.txt
J. N. Findlay,1903–1987,J._N._Findlay.txt
J.B. Schneewind,born 1930,J.B._Schneewind.txt
Jaakko Hintikka,1929–2015,Jaakko_Hintikka.txt
Jacob Burckhardt,1818–1897,Jacob_Burckhardt.txt
Jacob Moleschott,1822–1893,Jacob_Moleschott.txt
Jacobus Arminius,1560–1609,Jacobus_Arminius.txt
Jacopo Zabarella,1533–1589,Jacopo_Zabarella.txt
Jacques Derrida,1930–2004,Jacques_Derrida.txt
Jacques Lacan,1901–1981,Jacques_Lacan.txt
Jacques Lefèvre d'Étaples,c. 1455–c. 1536,Jacques_Lefèvre_d'Étaples.txt
Jacques Maritain,1882–1973,Jacques_Maritain.txt
Jacques Rancière,born 1940,Jacques_Rancière.txt
Jacques Rohault,1617–1672,Jacques_Rohault.txt
Jacques-André Naigeon,1738–1810,Jacques-André_Naigeon.txt
Jacques-Bénigne Bossuet,1627–1704,Jacques-Bénigne_Bossuet.txt
Jaegwon Kim,1934–2019,Jaegwon_Kim.txt
Jakob Böhme,1575–1624,Jakob_Böhme.txt
Jakob Friedrich Fries,1773–1843,Jakob_Friedrich_Fries.txt
Jakob Sigismund Beck,1761–1840,Jakob_Sigismund_Beck.txt
Jalal al-Din al-Dawani,1426–1502,Jalal_al-Din_al-Dawani.txt
Jamal al-Din al-Afghani,1839–1897,Jamal_al-Din_al-Afghani.txt
James Beattie (writer),1735–1803,James_Beattie_(writer).txt
"James Bryce, 1st Viscount Bryce",1838–1922,"James_Bryce,_1st_Viscount_Bryce.txt"
"James Burnett, Lord Monboddo",1714–1799,"James_Burnett,_Lord_Monboddo.txt"
James Clerk Maxwell,1831–1879,James_Clerk_Maxwell.txt
"James Dalrymple, 1st Viscount Stair",1619–1695,"James_Dalrymple,_1st_Viscount_Stair.txt"
James Dunbar (writer),1742–1798,James_Dunbar_(writer).txt
James Edwin Creighton,1861–1924,James_Edwin_Creighton.txt
James Frederick Ferrier,1808–1864,James_Frederick_Ferrier.txt
James Griffin (philosopher),1933–2019,James_Griffin_(philosopher).txt
James Harrington (author),1611–1677,James_Harrington_(author).txt
James Hopwood Jeans,1877–1946,James_Hopwood_Jeans.txt
James Hutchison Stirling,1820–1909,James_Hutchison_Stirling.txt
James Hutton,1726–1797,James_Hutton.txt
James Martineau,1805–1900,James_Martineau.txt
James McCosh,1811–1894,James_McCosh.txt
James Mill,1773–1836,James_Mill.txt
James Ward (psychologist),1843–1925,James_Ward_(psychologist).txt
James of Viterbo,1255–1308,James_of_Viterbo.txt
Jan Hus,1369–1415,Jan_Hus.txt
Jan Lukasiewicz,1878–1956,Jan_Lukasiewicz.txt
Jan Patočka,1907–1977,Jan_Patočka.txt
Jan Sniadecki,1756–1830,Jan_Sniadecki.txt
Jane Addams,1860–1935,Jane_Addams.txt
Janet Radcliffe Richards,born 1944,Janet_Radcliffe_Richards.txt
Javad Tabatabai,born 1945,Javad_Tabatabai.txt
Jayarāśi Bhaṭṭa,fl. c. 800,Jayarāśi_Bhaṭṭa.txt
Je Tsongkhapa,1357–1419,Je_Tsongkhapa.txt
Jean Anthelme Brillat-Savarin,1755–1826,Jean_Anthelme_Brillat-Savarin.txt
Jean Baudrillard,1929–2007,Jean_Baudrillard.txt
Jean Bodin,1530–1596,Jean_Bodin.txt
Jean Buridan,1300–1358,Jean_Buridan.txt
Jean Cavaillès,1903–1944,Jean_Cavaillès.txt
Jean Gerson,1363–1429,Jean_Gerson.txt
Jean Hyppolite,1907–1968,Jean_Hyppolite.txt
Jean Jacques Rousseau,1712–1778,Jean_Jacques_Rousseau.txt
Jean Leclerc (theologian),1657–1737,Jean_Leclerc_(theologian).txt
Jean Meslier,1664–1729,Jean_Meslier.txt
Jean Piaget,1896–1980,Jean_Piaget.txt
Jean Reynaud,1806–1863,Jean_Reynaud.txt
Jean Wahl,1888–1974,Jean_Wahl.txt
Jean de La Bruyère,1645–1696,Jean_de_La_Bruyère.txt
Jean le Rond d'Alembert,1717–1783,Jean_le_Rond_d'Alembert.txt
Jean-Baptiste Dubos,1670–1742,Jean-Baptiste_Dubos.txt
Jean-Baptiste Lamarck,1744–1829,Jean-Baptiste_Lamarck.txt
Jean-François Lyotard,1924–1998,Jean-François_Lyotard.txt
Jean-Luc Nancy,born 1940,Jean-Luc_Nancy.txt
Jean-Paul Sartre,1905–1980,Jean-Paul_Sartre.txt
Jennifer Hornsby,born 1951,Jennifer_Hornsby.txt
Jeremy Bentham,1748–1832,Jeremy_Bentham.txt
Jerome Frank (lawyer),1889–1957,Jerome_Frank_(lawyer).txt
Jerry Fodor,1935–2017,Jerry_Fodor.txt
Jerzy Wróblewski,1926–1990,Jerzy_Wróblewski.txt
Jiddu Krishnamurti,1895–1986,Jiddu_Krishnamurti.txt
Jinul,1158–1210,Jinul.txt
Joachim Jungius,1587–1657,Joachim_Jungius.txt
Joachim of Fiore,1135–1201,Joachim_of_Fiore.txt
Joane Petrizi,12th century,Joane_Petrizi.txt
Joel Feinberg,1926–2004,Joel_Feinberg.txt
Johann Augustus Eberhard,1739–1809,Johann_Augustus_Eberhard.txt
Johann Bernhard Basedow,1724–1790,Johann_Bernhard_Basedow.txt
Johann Christoph Gottsched,1700–1766,Johann_Christoph_Gottsched.txt
Johann Franz Buddeus,1667–1729,Johann_Franz_Buddeus.txt
Johann Friedrich Herbart,1776–1841,Johann_Friedrich_Herbart.txt
Johann Georg Hamann,1730–1788,Johann_Georg_Hamann.txt
Johann Gottfried Herder,1744–1803,Johann_Gottfried_Herder.txt
Johann Heinrich Lambert,1728–1777,Johann_Heinrich_Lambert.txt
Johann Heinrich Pestalozzi,1746–1827,Johann_Heinrich_Pestalozzi.txt
Johann Jakob Bachofen,1815–1887,Johann_Jakob_Bachofen.txt
Johann Karl Friedrich Rosenkranz,1805–1879,Johann_Karl_Friedrich_Rosenkranz.txt
Johann Kaspar Lavater,1741–1801,Johann_Kaspar_Lavater.txt
Johann Sturm,1635–1703,Johann_Sturm.txt
Johann Wolfgang Goethe,1749–1832,Johann_Wolfgang_Goethe.txt
Johannes Althusius,1557–1638,Johannes_Althusius.txt
Johannes Capreolus,1380–1444,Johannes_Capreolus.txt
Johannes Clauberg,1622–1665,Johannes_Clauberg.txt
Johannes Kepler,1571–1630,Johannes_Kepler.txt
Johannes Nikolaus Tetens,1736–1807,Johannes_Nikolaus_Tetens.txt
Johannes Scotus Eriugena,c. 800–c. 880,Johannes_Scotus_Eriugena.txt
Johannes Tauler,c. 1300 – 1361,Johannes_Tauler.txt
John Anderson (philosopher),1893–1962,John_Anderson_(philosopher).txt
John Arthur Passmore,1914–2004,John_Arthur_Passmore.txt
John Austin (legal philosophy),1790–1859,John_Austin_(legal_philosophy).txt
John B. Watson,1878–1958,John_B._Watson.txt
John Balguy,1686–1748,John_Balguy.txt
John Calvin,1509–1564,John_Calvin.txt
John Colet,1466–1519,John_Colet.txt
John Cook Wilson,1849–1915,John_Cook_Wilson.txt
John Dewey,1859–1952,John_Dewey.txt
John Earman,born 1942,John_Earman.txt
John Ellis McTaggart,1866–1925,John_Ellis_McTaggart.txt
John Finnis,born 1940,John_Finnis.txt
John Fiske (philosopher),1842–1901,John_Fiske_(philosopher).txt
John Gay,1685–1732,John_Gay.txt
John Gray (philosopher),born 1948,John_Gray_(philosopher).txt
John Grote,1813–1866,John_Grote.txt
John Henry Newman,1801–1890,John_Henry_Newman.txt
John Herschel,1792–1871,John_Herschel.txt
John Hick,1922–2012,John_Hick.txt
John Holloway (sociologist),born 1947,John_Holloway_(sociologist).txt
John Locke,1632–1704,John_Locke.txt
John Lucas (philosopher),born 1929,John_Lucas_(philosopher).txt
John Major (philosopher),1467–1550,John_Major_(philosopher).txt
John Maynard Keynes,1883–1946,John_Maynard_Keynes.txt
John McDowell,born 1942,John_McDowell.txt
