Name,Birth/death dates,File name
Anaximenes of Miletus,6th century BC,Anaximenes_of_Miletus.txt
Anders Nygren,1890–1978,Anders_Nygren.txt
Ando Shoeki,1703–1762,Ando_Shoeki.txt
Andrew Feenberg,born 1943,Andrew_Feenberg.txt
Andrew Seth Pringle-Pattison,1856–1931,Andrew_Seth_Pringle-Pattison.txt
Andronicus of Rhodes,c. 70 BC,Andronicus_of_Rhodes.txt
André Gorz,1923–2007,André_Gorz.txt
André Lalande (philosopher),1867–1964,André_Lalande_(philosopher).txt
André Malraux,1901–1976,André_Malraux.txt
André-Marie Ampère,1775–1836,André-Marie_Ampère.txt
Angela Davis,born 1944,Angela_Davis.txt
Anicius Manlius Severinus Boethius,AD 480–524/525,Anicius_Manlius_Severinus_Boethius.txt
Ann Ferguson,born 1938,Ann_Ferguson.txt
Anna J. Cooper,1858–1964,Anna_J._Cooper.txt
Anna Maria van Schurman,1607–1678,Anna_Maria_van_Schurman.txt
Anne Louise Germaine de Staël,1766–1817,Anne_Louise_Germaine_de_Staël.txt
Annette Baier,1929–2012,Annette_Baier.txt
Anniceris,fl. 300 BC,Anniceris.txt
Anselm of Canterbury,1034–1109,Anselm_of_Canterbury.txt
Antero de Quental,1842–1891,Antero_de_Quental.txt
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",1671–1713,"Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury.txt"
Anthony Collins,1676–1729,Anthony_Collins.txt
Anthony Kenny,born 1931,Anthony_Kenny.txt
Anthony Quinton,1925–2010,Anthony_Quinton.txt
Antiochus of Ascalon,c. 130–68 BC,Antiochus_of_Ascalon.txt
Antiphon (person),480–403 BC,Antiphon_(person).txt
Antisthenes,c. 444–365,Antisthenes.txt
Antoine Arnauld,1612–1694,Antoine_Arnauld.txt
Antoine Augustin Cournot,1801–1877,Antoine_Augustin_Cournot.txt
Antoine Destutt de Tracy,1754–1836,Antoine_Destutt_de_Tracy.txt
Antoine Lavoisier,1743–1794,Antoine_Lavoisier.txt
Antoine Le Grand,1629–1699,Antoine_Le_Grand.txt
Anton Marty,1847–1914,Anton_Marty.txt
Anton Wilhelm Amo,1703–c. 1759,Anton_Wilhelm_Amo.txt
Antonie Pannekoek,1873–1960,Antonie_Pannekoek.txt
Antonin Scalia,1936–2016,Antonin_Scalia.txt
Antonio Aliotta,1881–1964,Antonio_Aliotta.txt
Antonio Banfi,1886–1957,Antonio_Banfi.txt
Antonio Caso,1883–1946,Antonio_Caso.txt
Antonio Genovesi,1712–1769,Antonio_Genovesi.txt
Antonio Gramsci,1891–1937,Antonio_Gramsci.txt
Antonio Labriola,1843–1904,Antonio_Labriola.txt
Antonio Negri,born 1933,Antonio_Negri.txt
Antonio Rosmini-Serbati,1797–1855,Antonio_Rosmini-Serbati.txt
Apuleius,c. 123–c. 180,Apuleius.txt
Arcesilaus,316–241 BC,Arcesilaus.txt
Archibald Alison (Scottish author),1757–1839,Archibald_Alison_(Scottish_author).txt
Archytas,428–347 BC,Archytas.txt
Aristippus,c. 435–366 BC,Aristippus.txt
Aristo of Chios,fl. 250 BC,Aristo_of_Chios.txt
Aristotle,384 BC–322 BC,Aristotle.txt
Arius,256–336,Arius.txt
Arne Næss,1912–2009,Arne_Næss.txt
Arnold Gehlen,1904–1976,Arnold_Gehlen.txt
Arnold Geulincx,1624–1669,Arnold_Geulincx.txt
Arnold Ruge,1802–1880,Arnold_Ruge.txt
Aron Gurwitsch,1901–1973,Aron_Gurwitsch.txt
Arthur Balfour,1848–1930,Arthur_Balfour.txt
Arthur Collier,1680–1732,Arthur_Collier.txt
Arthur Danto,1924–2013,Arthur_Danto.txt
Arthur Edward Murphy,1901–1962,Arthur_Edward_Murphy.txt
Arthur M. Young,1905–1995,Arthur_M._Young.txt
Arthur Oncken Lovejoy,1873–1962,Arthur_Oncken_Lovejoy.txt
Arthur Prior,1914–1969,Arthur_Prior.txt
Arthur Schopenhauer,1788–1860,Arthur_Schopenhauer.txt
Arthur Stanley Eddington,1882–1944,Arthur_Stanley_Eddington.txt
Arthur de Gobineau,1816–1882,Arthur_de_Gobineau.txt
Asa Gray,1810–1888,Asa_Gray.txt
Asher Ginsberg,1856–1927,Asher_Ginsberg.txt
Assi Rahbani,1923–1986,Assi_Rahbani.txt
Athanasius of Alexandria,298–373,Athanasius_of_Alexandria.txt
August Cieszkowski,1814–1894,August_Cieszkowski.txt
August Wilhelm Rehberg,1757–1836,August_Wilhelm_Rehberg.txt
August Wilhelm Schlegel,1767–1845,August_Wilhelm_Schlegel.txt
Auguste Comte,1798–1857,Auguste_Comte.txt
Augustine of Hippo,354–430,Augustine_of_Hippo.txt
Augustus De Morgan,1806–1871,Augustus_De_Morgan.txt
Austin Marsden Farrer,1904–1968,Austin_Marsden_Farrer.txt
Averroes,1126–1198,Averroes.txt
Avicenna,980–1037,Avicenna.txt
Avital Ronell,born 1952,Avital_Ronell.txt
Ayn Rand,1905–1982,Ayn_Rand.txt
B. F. Skinner,1904–1990,B._F._Skinner.txt
B. R. Ambedkar,1891–1956,B._R._Ambedkar.txt
Bahya ibn Paquda,1040–1110,Bahya_ibn_Paquda.txt
Baltasar Gracián y Morales,1601–1658,Baltasar_Gracián_y_Morales.txt
Baron d'Holbach,1723–1789,Baron_d'Holbach.txt
Baroness Mary Warnock,1924–2019,Baroness_Mary_Warnock.txt
Barry Smith (academic),born 1952,Barry_Smith_(academic).txt
Barry Stroud,1935–2019,Barry_Stroud.txt
Bartholomew Keckermann,1571–1609,Bartholomew_Keckermann.txt
Bartolomé de Medina,1527–1580,Bartolomé_de_Medina.txt
Bartolus de Saxoferrato,1313–1357,Bartolus_de_Saxoferrato.txt
Baruch Spinoza,1632–1677,Baruch_Spinoza.txt
Bas C. van Fraassen,born 1941,Bas_C._van_Fraassen.txt
Basilides,c. 117–138,Basilides.txt
Benedetto Croce,1866–1952,Benedetto_Croce.txt
Benjamin Constant,1767–1830,Benjamin_Constant.txt
Benjamin Fondane,1898–1944,Benjamin_Fondane.txt
Benjamin Franklin,1706–1790,Benjamin_Franklin.txt
Benjamin Peirce,1809–1880,Benjamin_Peirce.txt
Benjamin Tucker,1854–1939,Benjamin_Tucker.txt
Benjamin Whichcote,1609–1683,Benjamin_Whichcote.txt
Benoît de Maillet,1656–1738,Benoît_de_Maillet.txt
Bernard Bolzano,1781–1848,Bernard_Bolzano.txt
Bernard Bosanquet (philosopher),1848–1923,Bernard_Bosanquet_(philosopher).txt
Bernard Delfgaauw,1912–1993,Bernard_Delfgaauw.txt
Bernard Lonergan,1904–1984,Bernard_Lonergan.txt
Bernard Silvestris,1147–1178,Bernard_Silvestris.txt
Bernard Williams,1929–2003,Bernard_Williams.txt
Bernard de Mandeville,1670–1733,Bernard_de_Mandeville.txt
Bernard le Bovier de Fontenelle,1657–1757,Bernard_le_Bovier_de_Fontenelle.txt
Bernard of Chartres,died 1130,Bernard_of_Chartres.txt
Bernard of Clairvaux,1090–1153,Bernard_of_Clairvaux.txt
Bernardino Telesio,1509–1588,Bernardino_Telesio.txt
Bernhard Riemann,1826–1866,Bernhard_Riemann.txt
Bertrand Russell,1872–1970,Bertrand_Russell.txt
Bessarion,1403–1472,Bessarion.txt
Bhartrhari,5th century,Bhartrhari.txt
Blaise Pascal,1623–1662,Blaise_Pascal.txt
Blasius of Parma,1345–1416,Blasius_of_Parma.txt
Boetius of Dacia,c. 1240–c. 1280,Boetius_of_Dacia.txt
Bonaventure,1221–1274,Bonaventure.txt
Borden Parker Bowne,1847–1910,Borden_Parker_Bowne.txt
Boris Chicherin,1828–1904,Boris_Chicherin.txt
Brand Blanshard,1892–1987,Brand_Blanshard.txt
Branislav Petronijević,1875–1954,Branislav_Petronijević.txt
Brian Barry,1936–2009,Brian_Barry.txt
Bruno Bauer,1809–1882,Bruno_Bauer.txt
Bruno Latour,born 1947,Bruno_Latour.txt
Bruno de Finetti,1906–1985,Bruno_de_Finetti.txt
Buddhaghosa,5th century,Buddhaghosa.txt
C. D. Broad,1887–1971,C._D._Broad.txt
C. Lloyd Morgan,1852–1936,C._Lloyd_Morgan.txt
C. S. Lewis,1898–1963,C._S._Lewis.txt
Caio Prado Júnior,1907–1990,Caio_Prado_Júnior.txt
Calcidius,4th century,Calcidius.txt
Callicles,late 5th century BC,Callicles.txt
Carl Gustav Carus,1789–1869,Carl_Gustav_Carus.txt
Carl Gustav Hempel,1905–1997,Carl_Gustav_Hempel.txt
Carl Jung,1875–1961,Carl_Jung.txt
Carl Linnaeus,1707–1778,Carl_Linnaeus.txt
Carl Schmitt,1888–1985,Carl_Schmitt.txt
Carl Stumpf,1848–1936,Carl_Stumpf.txt
Carl Vogt,1817–1895,Carl_Vogt.txt
Carlo Cattaneo,1801–1869,Carlo_Cattaneo.txt
Carlo Rosselli,1899–1937,Carlo_Rosselli.txt
Carlos Cossio,1903–1987,Carlos_Cossio.txt
Carneades,c. 214–129 BC,Carneades.txt
Catharine Macaulay,1731–1791,Catharine_Macaulay.txt
Catherine Clément,born 1939,Catherine_Clément.txt
Catherine Trotter Cockburn,1679–1749,Catherine_Trotter_Cockburn.txt
Celsus,2nd century,Celsus.txt
"Cesare, Marquis of Beccaria",1738–1794,"Cesare,_Marquis_of_Beccaria.txt"
